config_rank,feature_map_type,reps,entanglement,paulis,repeat_id,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,cpu_summary,ram_summary,gpu_summary
1,PauliFeatureMap,2,full,"[""Z""]",0,0.9385964912280702,0.9365079365079365,0.9323616115296429,0.9343480049362403,0.9384499917007656,84.87178197875619,56.674941272009164,"{""fit_peak_cpu_percent"": 187.3, ""predict_peak_cpu_percent"": 103.5}","{""fit_peak_ram_mb"": 582.94921875, ""predict_peak_ram_mb"": 582.37890625}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
1,PauliFeatureMap,2,full,"[""Z""]",1,0.9035087719298246,0.8945012787723785,0.9041925974451359,0.8986339018672702,0.9040937563373311,84.50281283492222,56.55959829920903,"{""fit_peak_cpu_percent"": 102.6, ""predict_peak_cpu_percent"": 101.8}","{""fit_peak_ram_mb"": 583.05859375, ""predict_peak_ram_mb"": 575.578125}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
1,PauliFeatureMap,2,full,"[""Z""]",2,0.956140350877193,0.9516233766233766,0.9556174254831313,0.9535338713621913,0.9562368871555263,84.78370553208515,56.95176368486136,"{""fit_peak_cpu_percent"": 304.2, ""predict_peak_cpu_percent"": 103.9}","{""fit_peak_ram_mb"": 582.7734375, ""predict_peak_ram_mb"": 575.875}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
2,PauliFeatureMap,2,circular,"[""Z""]",0,0.9473684210526315,0.9439895185063871,0.9439895185063871,0.9439895185063871,0.9473684210526315,84.7261270689778,57.132988451980054,"{""fit_peak_cpu_percent"": 335.9, ""predict_peak_cpu_percent"": 103.8}","{""fit_peak_ram_mb"": 582.5078125, ""predict_peak_ram_mb"": 575.98046875}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
2,PauliFeatureMap,2,circular,"[""Z""]",1,0.9298245614035088,0.9253193580085162,0.9253193580085162,0.9253193580085162,0.9298245614035088,84.52708208281547,56.190803442150354,"{""fit_peak_cpu_percent"": 281.4, ""predict_peak_cpu_percent"": 102.4}","{""fit_peak_ram_mb"": 582.6171875, ""predict_peak_ram_mb"": 576.35546875}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
2,PauliFeatureMap,2,circular,"[""Z""]",2,0.9122807017543859,0.9148717948717948,0.8974778905994104,0.9047778149014367,0.9113428408977672,84.06216082675382,56.81982158171013,"{""fit_peak_cpu_percent"": 111.2, ""predict_peak_cpu_percent"": 110.0}","{""fit_peak_ram_mb"": 582.62109375, ""predict_peak_ram_mb"": 576.47265625}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
3,PauliFeatureMap,2,full,"[""Y"", ""Z""]",0,0.9035087719298246,0.8988095238095237,0.895021290533901,0.8968325791855204,0.9032785583869176,139.23276248481125,92.19245421001688,"{""fit_peak_cpu_percent"": 212.1, ""predict_peak_cpu_percent"": 141.9}","{""fit_peak_ram_mb"": 582.70703125, ""predict_peak_ram_mb"": 582.75390625}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
3,PauliFeatureMap,2,full,"[""Y"", ""Z""]",1,0.868421052631579,0.868421052631579,0.8485096626269244,0.8563869992441421,0.86659771120924,136.69816187676042,91.37887604301795,"{""fit_peak_cpu_percent"": 116.0, ""predict_peak_cpu_percent"": 370.0}","{""fit_peak_ram_mb"": 582.84765625, ""predict_peak_ram_mb"": 583.69921875}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
3,PauliFeatureMap,2,full,"[""Y"", ""Z""]",2,0.9122807017543859,0.92875226039783,0.8883065836881756,0.9025641025641026,0.9101214574898786,135.349539632909,89.39803342800587,"{""fit_peak_cpu_percent"": 480.1, ""predict_peak_cpu_percent"": 112.8}","{""fit_peak_ram_mb"": 585.87109375, ""predict_peak_ram_mb"": 584.13671875}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
4,PauliFeatureMap,1,circular,"[""Z""]",0,0.9649122807017544,0.9626596790042581,0.9626596790042581,0.9626596790042581,0.9649122807017544,62.0289879492484,42.016632148995996,"{""fit_peak_cpu_percent"": 115.9, ""predict_peak_cpu_percent"": 107.2}","{""fit_peak_ram_mb"": 590.11328125, ""predict_peak_ram_mb"": 583.32421875}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
