number,value,datetime_start,datetime_complete,duration,params_entanglement,params_feature_map_type,params_paulis,params_reps,user_attrs_macro_f1,state,trial_number,feature_map_type,reps,entanglement,paulis,status,error_message,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,peak_cpu_percent,peak_ram_mb,peak_gpu_memory_mb
0,0.7525247758376593,2026-05-16 10:57:10.536652,2026-05-16 11:00:48.144997,0 days 00:03:37.608345,linear,ZZFeatureMap,,2,0.7525247758376593,COMPLETE,0,ZZFeatureMap,2,linear,,completed,,0.7982456140350878,0.857707509881423,0.7371437929905011,0.7525247758376593,0.7786509690933326,129.93039105273783,87.67531008599326,415.4,571.7109375,
1,0.0,2026-05-16 11:00:48.146986,2026-05-16 11:00:48.148173,0 days 00:00:00.001187,linear,ZFeatureMap,,1,,COMPLETE,1,ZFeatureMap,1,linear,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
2,0.9434523809523809,2026-05-16 11:00:48.148651,2026-05-16 11:04:37.662856,0 days 00:03:49.514205,full,PauliFeatureMap,"[""Y"", ""Z""]",2,0.9434523809523809,COMPLETE,2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",completed,,0.9473684210526315,0.9482124958235884,0.9394038650507697,0.9434523809523809,0.947107351712615,137.67034645192325,91.84166867099702,581.3,575.46875,
3,0.6289330922242314,2026-05-16 11:04:37.664821,2026-05-16 11:09:19.325266,0 days 00:04:41.660445,full,ZZFeatureMap,,2,0.6289330922242314,COMPLETE,3,ZZFeatureMap,2,full,,completed,,0.6842105263157895,0.665389527458493,0.6272518833933836,0.6289330922242314,0.6641096411915866,167.33618401410058,114.32180760381743,585.8,576.078125,
4,0.0,2026-05-16 11:09:19.327937,2026-05-16 11:09:19.328539,0 days 00:00:00.000602,linear,ZFeatureMap,,1,,COMPLETE,4,ZFeatureMap,1,linear,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
5,0.8492063492063492,2026-05-16 11:09:19.329034,2026-05-16 11:11:46.606958,0 days 00:02:27.277924,linear,PauliFeatureMap,"[""Z"", ""ZZ""]",1,0.8492063492063492,COMPLETE,5,PauliFeatureMap,1,linear,"[""Z"", ""ZZ""]",completed,,0.8596491228070176,0.852990310725025,0.846053062561415,0.8492063492063492,0.8589529379003062,88.28841015510261,58.98581114690751,511.2,575.11328125,
6,0.857914416285833,2026-05-16 11:11:46.608283,2026-05-16 11:14:54.032565,0 days 00:03:07.424282,full,ZZFeatureMap,,1,0.857914416285833,COMPLETE,6,ZZFeatureMap,1,full,,completed,,0.868421052631579,0.8641891891891892,0.8530953160825417,0.857914416285833,0.8674042813723132,112.2357255667448,75.18640016019344,161.5,576.81640625,
7,0.857914416285833,2026-05-16 11:14:54.034207,2026-05-16 11:18:02.286085,0 days 00:03:08.251878,full,ZZFeatureMap,,1,0.857914416285833,COMPLETE,7,ZZFeatureMap,1,full,,completed,,0.868421052631579,0.8641891891891892,0.8530953160825417,0.857914416285833,0.8674042813723132,113.26435550209135,74.98525345604867,261.6,577.48046875,
8,0.8372385991433611,2026-05-16 11:18:02.288117,2026-05-16 11:20:40.075288,0 days 00:02:37.787171,circular,ZZFeatureMap,,1,0.8372385991433611,COMPLETE,8,ZZFeatureMap,1,circular,,completed,,0.8508771929824561,0.8486842105263157,0.8298395021290534,0.8372385991433611,0.848810739370472,94.582362272311,63.202633928041905,142.8,577.19140625,
9,0.7481219619973487,2026-05-16 11:20:40.077305,2026-05-16 11:24:38.927907,0 days 00:03:58.850602,circular,ZZFeatureMap,,2,0.7481219619973487,COMPLETE,9,ZZFeatureMap,2,circular,,completed,,0.7807017543859649,0.786904761904762,0.7368162463150999,0.7481219619973487,0.7703715763115256,143.87147393776104,94.97654027910903,260.8,577.72265625,
