config_rank,feature_map_type,reps,entanglement,paulis,repeat_id,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,cpu_summary,ram_summary,gpu_summary
1,PauliFeatureMap,1,linear,"[""X"", ""Z""]",0,0.8688524590163934,0.8679653679653679,0.8679653679653679,0.8679653679653679,0.8688524590163934,31.123543800000334,21.21988599999895,"{""fit_peak_cpu_percent"": 101.6, ""predict_peak_cpu_percent"": 103.5}","{""fit_peak_ram_mb"": 331.28125, ""predict_peak_ram_mb"": 326.09375}","{""fit_peak_gpu_memory_mb"": 3652.78125, ""predict_peak_gpu_memory_mb"": 3652.2265625}"
1,PauliFeatureMap,1,linear,"[""X"", ""Z""]",1,0.8360655737704918,0.8373626373626374,0.8322510822510822,0.8338779956427015,0.8354405514482659,31.463577900001837,21.2250073000032,"{""fit_peak_cpu_percent"": 118.7, ""predict_peak_cpu_percent"": 102.1}","{""fit_peak_ram_mb"": 330.89453125, ""predict_peak_ram_mb"": 326.234375}","{""fit_peak_gpu_memory_mb"": 3652.2265625, ""predict_peak_gpu_memory_mb"": 3652.2265625}"
1,PauliFeatureMap,1,linear,"[""X"", ""Z""]",2,0.7868852459016393,0.7946224256292906,0.7786796536796536,0.7809997238331953,0.7839424848674174,31.271216499997536,21.21120399999927,"{""fit_peak_cpu_percent"": 104.2, ""predict_peak_cpu_percent"": 104.2}","{""fit_peak_ram_mb"": 331.40234375, ""predict_peak_ram_mb"": 325.7265625}","{""fit_peak_gpu_memory_mb"": 3652.2265625, ""predict_peak_gpu_memory_mb"": 3652.2265625}"
2,PauliFeatureMap,3,linear,"[""Y"", ""Z""]",0,0.7213114754098361,0.7194989106753813,0.7180735930735931,0.7185888738127544,0.7208577084769892,63.94204190000164,43.56651399999828,"{""fit_peak_cpu_percent"": 106.6, ""predict_peak_cpu_percent"": 102.0}","{""fit_peak_ram_mb"": 331.0390625, ""predict_peak_ram_mb"": 326.50390625}","{""fit_peak_gpu_memory_mb"": 3652.2265625, ""predict_peak_gpu_memory_mb"": 3647.3046875}"
2,PauliFeatureMap,3,linear,"[""Y"", ""Z""]",1,0.819672131147541,0.8227777777777778,0.8143939393939394,0.8165162701668034,0.8184886832797643,64.29396989999805,43.372896100001526,"{""fit_peak_cpu_percent"": 120.2, ""predict_peak_cpu_percent"": 151.2}","{""fit_peak_ram_mb"": 331.19140625, ""predict_peak_ram_mb"": 325.8984375}","{""fit_peak_gpu_memory_mb"": 3634.4296875, ""predict_peak_gpu_memory_mb"": 3634.4296875}"
2,PauliFeatureMap,3,linear,"[""Y"", ""Z""]",2,0.7213114754098361,0.7220430107526882,0.7234848484848485,0.7210115684691956,0.7217613358207968,64.28258220000134,43.311204600002384,"{""fit_peak_cpu_percent"": 117.0, ""predict_peak_cpu_percent"": 103.3}","{""fit_peak_ram_mb"": 330.94140625, ""predict_peak_ram_mb"": 327.23046875}","{""fit_peak_gpu_memory_mb"": 3634.4296875, ""predict_peak_gpu_memory_mb"": 3634.4296875}"
3,ZZFeatureMap,2,linear,,0,0.5901639344262295,0.5883620689655172,0.5887445887445888,0.5883940620782726,0.5906064025132188,44.66159859999607,30.37849229999847,"{""fit_peak_cpu_percent"": 133.0, ""predict_peak_cpu_percent"": 103.0}","{""fit_peak_ram_mb"": 331.79296875, ""predict_peak_ram_mb"": 326.94140625}","{""fit_peak_gpu_memory_mb"": 3634.4296875, ""predict_peak_gpu_memory_mb"": 3634.4296875}"
3,ZZFeatureMap,2,linear,,1,0.6557377049180327,0.6550343249427918,0.6466450216450217,0.6462303231151616,0.6509840140165972,44.51628260000143,30.285824800004775,"{""fit_peak_cpu_percent"": 110.2, ""predict_peak_cpu_percent"": 102.6}","{""fit_peak_ram_mb"": 331.41015625, ""predict_peak_ram_mb"": 326.8828125}","{""fit_peak_gpu_memory_mb"": 3634.4296875, ""predict_peak_gpu_memory_mb"": 3634.4296875}"
3,ZZFeatureMap,2,linear,,2,0.5901639344262295,0.5857142857142856,0.577922077922078,0.5736650824713447,0.5805396041192133,44.66903789999924,30.359997100000328,"{""fit_peak_cpu_percent"": 124.0, ""predict_peak_cpu_percent"": 102.6}","{""fit_peak_ram_mb"": 331.48828125, ""predict_peak_ram_mb"": 326.76171875}","{""fit_peak_gpu_memory_mb"": 3634.4296875, ""predict_peak_gpu_memory_mb"": 3634.4296875}"
4,PauliFeatureMap,2,full,"[""Y"", ""Z""]",0,0.6885245901639344,0.6872222222222222,0.6823593073593073,0.6830735575608422,0.6864804529377748,47.822081800004526,32.80822110000008,"{""fit_peak_cpu_percent"": 108.0, ""predict_peak_cpu_percent"": 104.2}","{""fit_peak_ram_mb"": 331.77734375, ""predict_peak_ram_mb"": 326.54296875}","{""fit_peak_gpu_memory_mb"": 3663.625, ""predict_peak_gpu_memory_mb"": 3647.8671875}"
4,PauliFeatureMap,2,full,"[""Y"", ""Z""]",1,0.5573770491803278,0.5516666666666667,0.5503246753246753,0.549630844954881,0.5544722225957854,49.4903886999964,34.05302379999921,"{""fit_peak_cpu_percent"": 208.3, ""predict_peak_cpu_percent"": 208.3}","{""fit_peak_ram_mb"": 332.23828125, ""predict_peak_ram_mb"": 327.6015625}","{""fit_peak_gpu_memory_mb"": 3648.3046875, ""predict_peak_gpu_memory_mb"": 3648.3046875}"
4,PauliFeatureMap,2,full,"[""Y"", ""Z""]",2,0.6721311475409836,0.66991341991342,0.66991341991342,0.66991341991342,0.6721311475409836,49.764757400000235,33.910371199999645,"{""fit_peak_cpu_percent"": 112.5, ""predict_peak_cpu_percent"": 102.5}","{""fit_peak_ram_mb"": 331.7421875, ""predict_peak_ram_mb"": 327.6953125}","{""fit_peak_gpu_memory_mb"": 3648.3046875, ""predict_peak_gpu_memory_mb"": 3672.8203125}"
5,ZZFeatureMap,2,circular,,0,0.5737704918032787,0.5773809523809523,0.5492424242424243,0.5164634146341464,0.5301079568172731,50.58414910000283,33.91094989999692,"{""fit_peak_cpu_percent"": 120.2, ""predict_peak_cpu_percent"": 151.2}","{""fit_peak_ram_mb"": 332.1953125, ""predict_peak_ram_mb"": 326.63671875}","{""fit_peak_gpu_memory_mb"": 3630.7578125, ""predict_peak_gpu_memory_mb"": 3679.515625}"
5,ZZFeatureMap,2,circular,,1,0.639344262295082,0.6368243243243243,0.6314935064935066,0.6313186813186813,0.6357773374166816,49.82689290000417,33.77137080000102,"{""fit_peak_cpu_percent"": 107.0, ""predict_peak_cpu_percent"": 120.2}","{""fit_peak_ram_mb"": 331.83984375, ""predict_peak_ram_mb"": 322.375}","{""fit_peak_gpu_memory_mb"": 3680.078125, ""predict_peak_gpu_memory_mb"": 3670.609375}"
5,ZZFeatureMap,2,circular,,2,0.6721311475409836,0.6972222222222222,0.6536796536796536,0.6445221445221445,0.6526424395276854,49.75265419999778,33.651586599997245,"{""fit_peak_cpu_percent"": 116.4, ""predict_peak_cpu_percent"": 102.7}","{""fit_peak_ram_mb"": 316.01953125, ""predict_peak_ram_mb"": 311.13671875}","{""fit_peak_gpu_memory_mb"": 3670.609375, ""predict_peak_gpu_memory_mb"": 3670.609375}"
