number,value,datetime_start,datetime_complete,duration,params_entanglement,params_feature_map_type,params_paulis,params_reps,user_attrs_macro_f1,state,trial_number,feature_map_type,reps,entanglement,paulis,status,error_message,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,peak_cpu_percent,peak_ram_mb,peak_gpu_memory_mb
0,0.7201079622132254,2026-06-17 17:26:46.797661,2026-06-17 17:28:02.403468,0 days 00:01:15.605807,linear,ZZFeatureMap,,2,0.7201079622132254,COMPLETE,0,ZZFeatureMap,2,linear,,completed,,0.7213114754098361,0.7198275862068966,0.7207792207792207,0.7201079622132254,0.7216123537089888,44.95733949999703,30.641582099997322,110.8,323.16015625,3438.9453125
1,0.0,2026-06-17 17:28:02.403468,2026-06-17 17:28:02.404470,0 days 00:00:00.001002,linear,ZFeatureMap,,1,,COMPLETE,1,ZFeatureMap,1,linear,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
2,0.7201079622132254,2026-06-17 17:28:02.404470,2026-06-17 17:29:22.567148,0 days 00:01:20.162678,full,PauliFeatureMap,"[""Y"", ""Z""]",2,0.7201079622132254,COMPLETE,2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",completed,,0.7213114754098361,0.7198275862068966,0.7207792207792207,0.7201079622132254,0.7216123537089888,47.93995369999902,32.21589369999856,208.3,323.54296875,3403.4453125
3,0.5255555555555556,2026-06-17 17:29:22.567148,2026-06-17 17:31:04.611360,0 days 00:01:42.044212,full,ZZFeatureMap,,2,0.5255555555555556,COMPLETE,3,ZZFeatureMap,2,full,,completed,,0.5409836065573771,0.532051282051282,0.5297619047619048,0.5255555555555556,0.532568306010929,60.84466059999977,41.19234400000278,103.9,326.08203125,3425.0078125
4,0.0,2026-06-17 17:31:04.611360,2026-06-17 17:31:04.611360,0 days 00:00:00,linear,ZFeatureMap,,1,,COMPLETE,4,ZFeatureMap,1,linear,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
5,0.6523744911804613,2026-06-17 17:31:04.611360,2026-06-17 17:31:54.497139,0 days 00:00:49.885779,linear,PauliFeatureMap,"[""Z"", ""ZZ""]",1,0.6523744911804613,COMPLETE,5,PauliFeatureMap,1,linear,"[""Z"", ""ZZ""]",completed,,0.6557377049180327,0.6530501089324618,0.652056277056277,0.6523744911804613,0.6551771692951042,29.790791200000967,20.08932040000218,108.0,325.703125,3408.7578125
6,0.6950000000000001,2026-06-17 17:31:54.497139,2026-06-17 17:32:57.280742,0 days 00:01:02.783603,full,ZZFeatureMap,,1,0.6950000000000001,COMPLETE,6,ZZFeatureMap,1,full,,completed,,0.7049180327868853,0.7097902097902098,0.6948051948051948,0.6950000000000001,0.6995081967213115,37.402825099998154,25.37552280000091,106.2,325.3359375,3408.4453125
7,0.6950000000000001,2026-06-17 17:32:57.281246,2026-06-17 17:34:00.297622,0 days 00:01:03.016376,full,ZZFeatureMap,,1,0.6950000000000001,COMPLETE,7,ZZFeatureMap,1,full,,completed,,0.7049180327868853,0.7097902097902098,0.6948051948051948,0.6950000000000001,0.6995081967213115,37.52207089999865,25.489801200004877,108.0,325.57421875,3407.1953125
8,0.7136150234741784,2026-06-17 17:34:00.298127,2026-06-17 17:34:54.501077,0 days 00:00:54.202950,circular,ZZFeatureMap,,1,0.7136150234741784,COMPLETE,8,ZZFeatureMap,1,circular,,completed,,0.7213114754098361,0.7248283752860412,0.7126623376623377,0.7136150234741784,0.7174632494420072,32.31975330000569,21.878541700003552,109.0,325.63671875,3382.0703125
9,0.7201079622132254,2026-06-17 17:34:54.501077,2026-06-17 17:36:17.531328,0 days 00:01:23.030251,circular,ZZFeatureMap,,2,0.7201079622132254,COMPLETE,9,ZZFeatureMap,2,circular,,completed,,0.7213114754098361,0.7198275862068966,0.7207792207792207,0.7201079622132254,0.7216123537089888,49.51391319999675,33.51009989999875,107.9,327.01171875,3382.0703125
