config_rank,feature_map_type,reps,entanglement,paulis,repeat_id,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,cpu_summary,ram_summary,gpu_summary
1,PauliFeatureMap,2,full,"[""Y"", ""Z""]",0,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,0.9665831244778613,9.205259988084435,6.145912636071444,"{""fit_peak_cpu_percent"": 157.4, ""predict_peak_cpu_percent"": 108.5}","{""fit_peak_ram_mb"": 254.05078125, ""predict_peak_ram_mb"": 254.05078125}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
1,PauliFeatureMap,2,full,"[""Y"", ""Z""]",1,0.9333333333333333,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.9326599326599326,8.962931696791202,6.226906472817063,"{""fit_peak_cpu_percent"": 252.7, ""predict_peak_cpu_percent"": 102.8}","{""fit_peak_ram_mb"": 254.16796875, ""predict_peak_ram_mb"": 254.1796875}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
1,PauliFeatureMap,2,full,"[""Y"", ""Z""]",2,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778613,0.9665831244778613,9.164361136965454,6.1632486348971725,"{""fit_peak_cpu_percent"": 103.5, ""predict_peak_cpu_percent"": 102.7}","{""fit_peak_ram_mb"": 254.1796875, ""predict_peak_ram_mb"": 254.1796875}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
2,PauliFeatureMap,2,full,"[""Z""]",0,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,5.682039993815124,3.8139313305728137,"{""fit_peak_cpu_percent"": 112.9, ""predict_peak_cpu_percent"": 99.9}","{""fit_peak_ram_mb"": 254.23046875, ""predict_peak_ram_mb"": 254.2421875}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
2,PauliFeatureMap,2,full,"[""Z""]",1,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,0.9665831244778613,5.566671440843493,3.7553754933178425,"{""fit_peak_cpu_percent"": 103.8, ""predict_peak_cpu_percent"": 109.9}","{""fit_peak_ram_mb"": 254.2421875, ""predict_peak_ram_mb"": 254.24609375}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
2,PauliFeatureMap,2,full,"[""Z""]",2,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,5.628104669041932,3.810748944990337,"{""fit_peak_cpu_percent"": 100.2, ""predict_peak_cpu_percent"": 128.5}","{""fit_peak_ram_mb"": 254.24609375, ""predict_peak_ram_mb"": 254.24609375}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
3,PauliFeatureMap,2,linear,"[""Y"", ""Z""]",0,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,9.25476989010349,6.184023750945926,"{""fit_peak_cpu_percent"": 112.0, ""predict_peak_cpu_percent"": 112.3}","{""fit_peak_ram_mb"": 254.24609375, ""predict_peak_ram_mb"": 254.24609375}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
3,PauliFeatureMap,2,linear,"[""Y"", ""Z""]",1,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778613,0.9665831244778613,9.114479173906147,6.062339784111828,"{""fit_peak_cpu_percent"": 109.3, ""predict_peak_cpu_percent"": 108.9}","{""fit_peak_ram_mb"": 254.24609375, ""predict_peak_ram_mb"": 254.25}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
3,PauliFeatureMap,2,linear,"[""Y"", ""Z""]",2,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,0.9665831244778613,9.055987349711359,6.344509775284678,"{""fit_peak_cpu_percent"": 124.2, ""predict_peak_cpu_percent"": 112.6}","{""fit_peak_ram_mb"": 254.25, ""predict_peak_ram_mb"": 254.25390625}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
4,ZZFeatureMap,1,circular,,0,0.8666666666666667,0.8796296296296297,0.8666666666666667,0.8692185007974481,0.869218500797448,6.393624796997756,4.319742215331644,"{""fit_peak_cpu_percent"": 102.5, ""predict_peak_cpu_percent"": 105.6}","{""fit_peak_ram_mb"": 254.26953125, ""predict_peak_ram_mb"": 254.28125}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
