number,value,datetime_start,datetime_complete,duration,params_entanglement,params_feature_map_type,params_paulis,params_reps,user_attrs_macro_f1,state,trial_number,feature_map_type,reps,entanglement,paulis,status,error_message,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,peak_cpu_percent,peak_ram_mb,peak_gpu_memory_mb
0,0.8646973941091588,2026-05-16 09:56:36.277811,2026-05-16 09:56:50.958538,0 days 00:00:14.680727,linear,ZZFeatureMap,,2,0.8646973941091588,COMPLETE,0,ZZFeatureMap,2,linear,,completed,,0.8666666666666667,0.8863636363636364,0.8666666666666667,0.8646973941091588,0.8646973941091588,8.7348168999888,5.9435708983801305,102.1,249.39453125,
1,0.0,2026-05-16 09:56:50.959204,2026-05-16 09:56:50.961090,0 days 00:00:00.001886,linear,ZFeatureMap,,1,,COMPLETE,1,ZFeatureMap,1,linear,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
2,0.9333333333333332,2026-05-16 09:56:50.961799,2026-05-16 09:57:06.089900,0 days 00:00:15.128101,full,PauliFeatureMap,"[""Y"", ""Z""]",2,0.9333333333333332,COMPLETE,2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",completed,,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,9.060988920275122,6.064972486812621,109.0,250.69921875,
3,0.7999999999999999,2026-05-16 09:57:06.091139,2026-05-16 09:57:25.586423,0 days 00:00:19.495284,full,ZZFeatureMap,,2,0.7999999999999999,COMPLETE,3,ZZFeatureMap,2,full,,completed,,0.8,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.8,11.735093459952623,7.758106052875519,105.7,251.12109375,
4,0.0,2026-05-16 09:57:25.587092,2026-05-16 09:57:25.588669,0 days 00:00:00.001577,linear,ZFeatureMap,,1,,COMPLETE,4,ZFeatureMap,1,linear,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
5,0.8306878306878307,2026-05-16 09:57:25.590160,2026-05-16 09:57:35.696458,0 days 00:00:10.106298,linear,PauliFeatureMap,"[""Z"", ""ZZ""]",1,0.8306878306878307,COMPLETE,5,PauliFeatureMap,1,linear,"[""Z"", ""ZZ""]",completed,,0.8333333333333334,0.837121212121212,0.8333333333333334,0.8306878306878307,0.8306878306878306,6.0530038410797715,4.050258242990822,100.8,251.125,
6,0.8664160401002506,2026-05-16 09:57:35.698183,2026-05-16 09:57:48.316940,0 days 00:00:12.618757,full,ZZFeatureMap,,1,0.8664160401002506,COMPLETE,6,ZZFeatureMap,1,full,,completed,,0.8666666666666667,0.869023569023569,0.8666666666666667,0.8664160401002506,0.8664160401002506,7.511686061974615,5.104992102365941,104.8,251.171875,
7,0.8664160401002506,2026-05-16 09:57:48.317627,2026-05-16 09:58:00.828306,0 days 00:00:12.510679,full,ZZFeatureMap,,1,0.8664160401002506,COMPLETE,7,ZZFeatureMap,1,full,,completed,,0.8666666666666667,0.869023569023569,0.8666666666666667,0.8664160401002506,0.8664160401002506,7.458864254876971,5.049764927010983,102.7,251.17578125,
8,0.9015037593984961,2026-05-16 09:58:00.828995,2026-05-16 09:58:11.578463,0 days 00:00:10.749468,circular,ZZFeatureMap,,1,0.9015037593984961,COMPLETE,8,ZZFeatureMap,1,circular,,completed,,0.9,0.9060606060606061,0.9,0.9015037593984961,0.9015037593984961,6.393928471021354,4.353307134006172,102.8,251.17578125,
9,0.8330827067669172,2026-05-16 09:58:11.579168,2026-05-16 09:58:27.867999,0 days 00:00:16.288831,circular,ZZFeatureMap,,2,0.8330827067669172,COMPLETE,9,ZZFeatureMap,2,circular,,completed,,0.8333333333333334,0.8356902356902357,0.8333333333333334,0.8330827067669172,0.8330827067669172,9.714466785080731,6.5701684430241585,102.9,251.26953125,
10,0.8341307814992026,2026-05-16 09:58:27.869988,2026-05-16 09:58:48.363972,0 days 00:00:20.493984,full,PauliFeatureMap,"[""Y"", ""Z""]",3,0.8341307814992026,COMPLETE,10,PauliFeatureMap,3,full,"[""Y"", ""Z""]",completed,,0.8333333333333334,0.8425925925925926,0.8333333333333334,0.8341307814992026,0.8341307814992026,12.246864672750235,8.242406245786697,239.3,252.1484375,
11,0.8341307814992026,2026-05-16 09:58:48.366042,2026-05-16 09:59:08.781452,0 days 00:00:20.415410,circular,PauliFeatureMap,"[""Y"", ""Z""]",3,0.8341307814992026,COMPLETE,11,PauliFeatureMap,3,circular,"[""Y"", ""Z""]",completed,,0.8333333333333334,0.8425925925925926,0.8333333333333334,0.8341307814992026,0.8341307814992026,12.207040396984667,8.19601339334622,103.6,252.171875,
12,0.8666666666666667,2026-05-16 09:59:08.782168,2026-05-16 09:59:24.184795,0 days 00:00:15.402627,circular,PauliFeatureMap,"[""X"", ""Z""]",2,0.8666666666666667,COMPLETE,12,PauliFeatureMap,2,circular,"[""X"", ""Z""]",completed,,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,9.223046828992665,6.175446670036763,105.3,252.171875,
13,0.7029239766081871,2026-05-16 09:59:24.185516,2026-05-16 09:59:36.379143,0 days 00:00:12.193627,circular,PauliFeatureMap,"[""ZZ""]",2,0.7029239766081871,COMPLETE,13,PauliFeatureMap,2,circular,"[""ZZ""]",completed,,0.7,0.7084175084175084,0.7000000000000001,0.7029239766081871,0.7029239766081871,7.214670288842171,4.974633758887649,102.7,252.27734375,
14,0.0,2026-05-16 09:59:36.379908,2026-05-16 09:59:36.384413,0 days 00:00:00.004505,full,ZFeatureMap,,3,,COMPLETE,14,ZFeatureMap,3,full,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
15,0.9015037593984961,2026-05-16 09:59:36.385327,2026-05-16 09:59:47.263137,0 days 00:00:10.877810,circular,ZZFeatureMap,,1,0.9015037593984961,COMPLETE,15,ZZFeatureMap,1,circular,,completed,,0.9,0.9060606060606061,0.9,0.9015037593984961,0.9015037593984961,6.4821052378974855,4.3909800299443305,102.5,252.28125,
16,0.771345029239766,2026-05-16 09:59:47.263892,2026-05-16 10:00:08.111774,0 days 00:00:20.847882,full,PauliFeatureMap,"[""X"", ""Y"", ""Z""]",2,0.771345029239766,COMPLETE,16,PauliFeatureMap,2,full,"[""X"", ""Y"", ""Z""]",completed,,0.7666666666666667,0.7787878787878787,0.7666666666666666,0.771345029239766,0.771345029239766,12.422416546847671,8.41964338393882,104.5,252.5234375,
17,0.9015037593984961,2026-05-16 10:00:08.112590,2026-05-16 10:00:19.364292,0 days 00:00:11.251702,circular,PauliFeatureMap,"[""Z""]",3,0.9015037593984961,COMPLETE,17,PauliFeatureMap,3,circular,"[""Z""]",completed,,0.9,0.9060606060606061,0.9,0.9015037593984961,0.9015037593984961,6.727954242378473,4.519543869886547,113.5,252.55078125,
18,0.8664160401002506,2026-05-16 10:00:19.365074,2026-05-16 10:00:31.463952,0 days 00:00:12.098878,full,ZZFeatureMap,,1,0.8664160401002506,COMPLETE,18,ZZFeatureMap,1,full,,completed,,0.8666666666666667,0.869023569023569,0.8666666666666667,0.8664160401002506,0.8664160401002506,7.249067473690957,4.845214182045311,102.5,252.5546875,
19,0.0,2026-05-16 10:00:31.464952,2026-05-16 10:00:31.469785,0 days 00:00:00.004833,circular,ZFeatureMap,,2,,COMPLETE,19,ZFeatureMap,2,circular,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
20,0.9333333333333332,2026-05-16 10:00:31.470352,2026-05-16 10:00:46.568721,0 days 00:00:15.098369,full,PauliFeatureMap,"[""Y"", ""Z""]",2,0.9333333333333332,COMPLETE,20,PauliFeatureMap,2,full,"[""Y"", ""Z""]",completed,,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,8.986250774934888,6.10894593084231,112.8,252.55859375,
21,0.9333333333333332,2026-05-16 10:00:46.569539,2026-05-16 10:01:01.774780,0 days 00:00:15.205241,full,PauliFeatureMap,"[""Y"", ""Z""]",2,0.9333333333333332,COMPLETE,21,PauliFeatureMap,2,full,"[""Y"", ""Z""]",completed,,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,9.018925963900983,6.181943381205201,105.1,252.70703125,
22,0.9333333333333332,2026-05-16 10:01:01.776658,2026-05-16 10:01:17.206168,0 days 00:00:15.429510,full,PauliFeatureMap,"[""Y"", ""Z""]",2,0.9333333333333332,COMPLETE,22,PauliFeatureMap,2,full,"[""Y"", ""Z""]",completed,,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,9.270184261724353,6.155824178829789,111.3,252.7109375,
23,0.9333333333333332,2026-05-16 10:01:17.207049,2026-05-16 10:01:32.447839,0 days 00:00:15.240790,full,PauliFeatureMap,"[""Y"", ""Z""]",2,0.9333333333333332,COMPLETE,23,PauliFeatureMap,2,full,"[""Y"", ""Z""]",completed,,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,9.137024719268084,6.098531908355653,111.4,252.88671875,
24,0.9333333333333332,2026-05-16 10:01:32.448680,2026-05-16 10:01:47.720374,0 days 00:00:15.271694,full,PauliFeatureMap,"[""Y"", ""Z""]",2,0.9333333333333332,COMPLETE,24,PauliFeatureMap,2,full,"[""Y"", ""Z""]",completed,,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,9.101791062857956,6.164175047073513,395.8,252.890625,
25,0.9333333333333332,2026-05-16 10:01:47.721227,2026-05-16 10:02:03.143919,0 days 00:00:15.422692,full,PauliFeatureMap,"[""Y"", ""Z""]",2,0.9333333333333332,COMPLETE,25,PauliFeatureMap,2,full,"[""Y"", ""Z""]",completed,,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,9.223057083319873,6.19516394007951,132.1,252.89453125,
26,0.8341307814992026,2026-05-16 10:02:03.145330,2026-05-16 10:02:23.444478,0 days 00:00:20.299148,full,PauliFeatureMap,"[""Y"", ""Z""]",3,0.8341307814992026,COMPLETE,26,PauliFeatureMap,3,full,"[""Y"", ""Z""]",completed,,0.8333333333333334,0.8425925925925926,0.8333333333333334,0.8341307814992026,0.8341307814992026,12.13297910662368,8.16274601733312,104.1,252.89453125,
27,0.8026483320600967,2026-05-16 10:02:23.446327,2026-05-16 10:02:38.709449,0 days 00:00:15.263122,full,PauliFeatureMap,"[""ZZ""]",2,0.8026483320600967,COMPLETE,27,PauliFeatureMap,2,full,"[""ZZ""]",completed,,0.8,0.8282828282828283,0.8000000000000002,0.8026483320600967,0.8026483320600967,9.11168320197612,6.147850445937365,102.0,252.9140625,
