config_rank,feature_map_type,reps,entanglement,paulis,repeat_id,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,cpu_summary,ram_summary,gpu_summary
1,ZFeatureMap,1,linear,,0,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,0.9665831244778613,5.191792600002373,3.4362607000075513,"{""fit_peak_cpu_percent"": 100.0, ""predict_peak_cpu_percent"": 104.2}","{""fit_peak_ram_mb"": 250.953125, ""predict_peak_ram_mb"": 249.19921875}","{""fit_peak_gpu_memory_mb"": 1344.8359375, ""predict_peak_gpu_memory_mb"": 1344.8359375}"
1,ZFeatureMap,1,linear,,1,1.0,1.0,1.0,1.0,1.0,5.235658300007344,3.496746199991321,"{""fit_peak_cpu_percent"": 100.1, ""predict_peak_cpu_percent"": 103.5}","{""fit_peak_ram_mb"": 250.77734375, ""predict_peak_ram_mb"": 250.84375}","{""fit_peak_gpu_memory_mb"": 1344.8359375, ""predict_peak_gpu_memory_mb"": 1344.8359375}"
1,ZFeatureMap,1,linear,,2,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778613,0.9665831244778613,5.1879597999941325,3.537244000006467,"{""fit_peak_cpu_percent"": 101.6, ""predict_peak_cpu_percent"": 100.1}","{""fit_peak_ram_mb"": 250.60546875, ""predict_peak_ram_mb"": 249.7109375}","{""fit_peak_gpu_memory_mb"": 1344.8359375, ""predict_peak_gpu_memory_mb"": 1344.8359375}"
2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",0,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,11.605254699999932,7.748685300000943,"{""fit_peak_cpu_percent"": 102.6, ""predict_peak_cpu_percent"": 100.1}","{""fit_peak_ram_mb"": 251.03125, ""predict_peak_ram_mb"": 251.10546875}","{""fit_peak_gpu_memory_mb"": 1344.8359375, ""predict_peak_gpu_memory_mb"": 1344.8359375}"
2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",1,0.9,0.9090909090909092,0.9,0.8994708994708994,0.8994708994708993,11.609354700005497,7.732466400004341,"{""fit_peak_cpu_percent"": 103.5, ""predict_peak_cpu_percent"": 100.2}","{""fit_peak_ram_mb"": 251.5078125, ""predict_peak_ram_mb"": 249.41015625}","{""fit_peak_gpu_memory_mb"": 1344.8359375, ""predict_peak_gpu_memory_mb"": 1344.8359375}"
2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",2,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778613,0.9665831244778613,11.401213600009214,7.736726699993596,"{""fit_peak_cpu_percent"": 104.2, ""predict_peak_cpu_percent"": 107.3}","{""fit_peak_ram_mb"": 251.26953125, ""predict_peak_ram_mb"": 250.0859375}","{""fit_peak_gpu_memory_mb"": 1344.8359375, ""predict_peak_gpu_memory_mb"": 1344.8359375}"
3,PauliFeatureMap,2,linear,"[""Y"", ""Z""]",0,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,11.658652899990557,7.785503699997207,"{""fit_peak_cpu_percent"": 103.7, ""predict_peak_cpu_percent"": 104.2}","{""fit_peak_ram_mb"": 251.3984375, ""predict_peak_ram_mb"": 251.3828125}","{""fit_peak_gpu_memory_mb"": 1344.8359375, ""predict_peak_gpu_memory_mb"": 1280.3359375}"
3,PauliFeatureMap,2,linear,"[""Y"", ""Z""]",1,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778613,0.9665831244778613,11.396926900008111,7.720559899986256,"{""fit_peak_cpu_percent"": 108.0, ""predict_peak_cpu_percent"": 112.5}","{""fit_peak_ram_mb"": 251.21484375, ""predict_peak_ram_mb"": 251.27734375}","{""fit_peak_gpu_memory_mb"": 1280.3359375, ""predict_peak_gpu_memory_mb"": 1280.3359375}"
3,PauliFeatureMap,2,linear,"[""Y"", ""Z""]",2,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,0.9665831244778613,11.443607599998359,7.925244899990503,"{""fit_peak_cpu_percent"": 102.0, ""predict_peak_cpu_percent"": 100.0}","{""fit_peak_ram_mb"": 251.13671875, ""predict_peak_ram_mb"": 251.33203125}","{""fit_peak_gpu_memory_mb"": 1280.3359375, ""predict_peak_gpu_memory_mb"": 1280.3359375}"
4,ZFeatureMap,2,full,,0,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778613,0.9665831244778613,6.982324800002971,4.668190099997446,"{""fit_peak_cpu_percent"": 103.0, ""predict_peak_cpu_percent"": 100.8}","{""fit_peak_ram_mb"": 251.265625, ""predict_peak_ram_mb"": 251.25}","{""fit_peak_gpu_memory_mb"": 1288.60546875, ""predict_peak_gpu_memory_mb"": 1280.3359375}"
