config_rank,feature_map_type,reps,entanglement,paulis,repeat_id,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,cpu_summary,ram_summary,gpu_summary
1,PauliFeatureMap,3,circular,"[""X"", ""Y"", ""Z""]",0,0.8888888888888888,0.894949494949495,0.8873015873015873,0.8875951634572324,0.8897845449569588,24.192110972944647,16.6929661501199,"{""fit_peak_cpu_percent"": 142.4, ""predict_peak_cpu_percent"": 128.7}","{""fit_peak_ram_mb"": 265.70703125, ""predict_peak_ram_mb"": 265.7421875}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
1,PauliFeatureMap,3,circular,"[""X"", ""Y"", ""Z""]",1,0.8888888888888888,0.9259259259259259,0.8777777777777779,0.890993265993266,0.8902216610549942,24.25191537803039,16.68857640400529,"{""fit_peak_cpu_percent"": 240.1, ""predict_peak_cpu_percent"": 111.3}","{""fit_peak_ram_mb"": 265.82421875, ""predict_peak_ram_mb"": 265.8359375}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
1,PauliFeatureMap,3,circular,"[""X"", ""Y"", ""Z""]",2,0.9166666666666666,0.9222222222222222,0.9166666666666666,0.9105836692043588,0.9137184654426034,24.41655557975173,16.69736555404961,"{""fit_peak_cpu_percent"": 102.4, ""predict_peak_cpu_percent"": 184.8}","{""fit_peak_ram_mb"": 265.90625, ""predict_peak_ram_mb"": 265.91796875}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
2,PauliFeatureMap,2,circular,"[""X"", ""Z""]",0,0.8611111111111112,0.8585858585858587,0.8539682539682539,0.8553723138430783,0.860736298517408,12.924059541895986,8.922926609870046,"{""fit_peak_cpu_percent"": 629.5, ""predict_peak_cpu_percent"": 119.8}","{""fit_peak_ram_mb"": 265.91796875, ""predict_peak_ram_mb"": 265.921875}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
2,PauliFeatureMap,2,circular,"[""X"", ""Z""]",1,0.8055555555555556,0.8141612200435729,0.7928571428571428,0.7979112002881102,0.8035705098523436,13.136359023861587,8.85705903172493,"{""fit_peak_cpu_percent"": 187.7, ""predict_peak_cpu_percent"": 111.8}","{""fit_peak_ram_mb"": 265.921875, ""predict_peak_ram_mb"": 265.921875}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
2,PauliFeatureMap,2,circular,"[""X"", ""Z""]",2,0.75,0.7519332519332519,0.7563492063492063,0.7449965493443754,0.7451690821256038,13.201849590986967,8.872611698694527,"{""fit_peak_cpu_percent"": 132.1, ""predict_peak_cpu_percent"": 110.9}","{""fit_peak_ram_mb"": 265.921875, ""predict_peak_ram_mb"": 265.92578125}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
3,PauliFeatureMap,2,linear,"[""Z""]",0,0.9166666666666666,0.919047619047619,0.919047619047619,0.9153846153846154,0.9166666666666666,8.151124048046768,5.492514729034156,"{""fit_peak_cpu_percent"": 102.0, ""predict_peak_cpu_percent"": 102.1}","{""fit_peak_ram_mb"": 265.93359375, ""predict_peak_ram_mb"": 265.9453125}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
3,PauliFeatureMap,2,linear,"[""Z""]",1,0.8611111111111112,0.8679653679653679,0.876984126984127,0.8661782661782661,0.8577126577126578,8.054847149178386,5.555493779014796,"{""fit_peak_cpu_percent"": 105.8, ""predict_peak_cpu_percent"": 109.5}","{""fit_peak_ram_mb"": 265.9453125, ""predict_peak_ram_mb"": 265.9453125}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
3,PauliFeatureMap,2,linear,"[""Z""]",2,0.8055555555555556,0.8468013468013469,0.7928571428571428,0.8062127024722932,0.805599957374254,8.052109275013208,5.522275037132204,"{""fit_peak_cpu_percent"": 102.1, ""predict_peak_cpu_percent"": 103.4}","{""fit_peak_ram_mb"": 265.9453125, ""predict_peak_ram_mb"": 265.9453125}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
4,PauliFeatureMap,3,full,"[""Y"", ""Z""]",0,0.8333333333333334,0.8549019607843137,0.8261904761904763,0.8319508448540707,0.8341013824884792,17.21186465676874,11.743878209963441,"{""fit_peak_cpu_percent"": 129.6, ""predict_peak_cpu_percent"": 119.5}","{""fit_peak_ram_mb"": 266.0, ""predict_peak_ram_mb"": 266.01171875}","{""fit_peak_gpu_memory_mb"": null, ""predict_peak_gpu_memory_mb"": null}"
