number,value,datetime_start,datetime_complete,duration,params_entanglement,params_feature_map_type,params_paulis,params_reps,user_attrs_macro_f1,state,trial_number,feature_map_type,reps,entanglement,paulis,status,error_message,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,peak_cpu_percent,peak_ram_mb,peak_gpu_memory_mb
0,0.6727890106497916,2026-05-16 10:17:27.877802,2026-05-16 10:17:48.337412,0 days 00:00:20.459610,linear,ZZFeatureMap,,2,0.6727890106497916,COMPLETE,0,ZZFeatureMap,2,linear,,completed,,0.6666666666666666,0.6886710239651416,0.6658730158730158,0.6727890106497916,0.6676956320419818,12.154384250752628,8.30241229198873,104.8,257.203125,
1,0.0,2026-05-16 10:17:48.338116,2026-05-16 10:17:48.339756,0 days 00:00:00.001640,linear,ZFeatureMap,,1,,COMPLETE,1,ZFeatureMap,1,linear,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
2,0.7797077474496829,2026-05-16 10:17:48.340227,2026-05-16 10:18:09.999698,0 days 00:00:21.659471,full,PauliFeatureMap,"[""Y"", ""Z""]",2,0.7797077474496829,COMPLETE,2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",completed,,0.8055555555555556,0.84593837535014,0.7777777777777778,0.7797077474496829,0.7928499218821798,12.773811281193048,8.883698008023202,158.4,260.5625,
3,0.411764705882353,2026-05-16 10:18:10.000358,2026-05-16 10:18:36.827761,0 days 00:00:26.827403,full,ZZFeatureMap,,2,0.411764705882353,COMPLETE,3,ZZFeatureMap,2,full,,completed,,0.4444444444444444,0.4197994987468672,0.41984126984126985,0.411764705882353,0.42899584076054664,15.845421246718615,10.9764194493182,189.4,261.7734375,
4,0.0,2026-05-16 10:18:36.829914,2026-05-16 10:18:36.830459,0 days 00:00:00.000545,linear,ZFeatureMap,,1,,COMPLETE,4,ZFeatureMap,1,linear,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
5,0.7265221878224973,2026-05-16 10:18:36.830945,2026-05-16 10:18:50.835331,0 days 00:00:14.004386,linear,PauliFeatureMap,"[""Z"", ""ZZ""]",1,0.7265221878224973,COMPLETE,5,PauliFeatureMap,1,linear,"[""Z"", ""ZZ""]",completed,,0.7222222222222222,0.7925925925925926,0.7134920634920635,0.7265221878224973,0.7248022015823873,8.308575003873557,5.693886043038219,147.6,262.48046875,
6,0.690665419978183,2026-05-16 10:18:50.836010,2026-05-16 10:19:08.477159,0 days 00:00:17.641149,full,ZZFeatureMap,,1,0.690665419978183,COMPLETE,6,ZZFeatureMap,1,full,,completed,,0.6944444444444444,0.7081105169340464,0.684126984126984,0.690665419978183,0.693054906238637,10.559533790219575,7.079631172120571,294.2,262.48046875,
7,0.690665419978183,2026-05-16 10:19:08.477865,2026-05-16 10:19:25.840410,0 days 00:00:17.362545,full,ZZFeatureMap,,1,0.690665419978183,COMPLETE,7,ZZFeatureMap,1,full,,completed,,0.6944444444444444,0.7081105169340464,0.684126984126984,0.690665419978183,0.693054906238637,10.258889944292605,7.101677438709885,108.7,262.48828125,
8,0.659370648844333,2026-05-16 10:19:25.841092,2026-05-16 10:19:40.916253,0 days 00:00:15.075161,circular,ZZFeatureMap,,1,0.659370648844333,COMPLETE,8,ZZFeatureMap,1,circular,,completed,,0.6666666666666666,0.7275132275132274,0.6579365079365079,0.659370648844333,0.6565302144249512,8.983500110916793,6.089686526916921,543.1,262.48828125,
9,0.572192513368984,2026-05-16 10:19:40.918164,2026-05-16 10:20:03.575944,0 days 00:00:22.657780,circular,ZZFeatureMap,,2,0.572192513368984,COMPLETE,9,ZZFeatureMap,2,circular,,completed,,0.6111111111111112,0.5867167919799499,0.5801587301587302,0.572192513368984,0.5929887106357695,13.395193034783006,9.260508958715945,110.6,262.4921875,
