config_rank,feature_map_type,reps,entanglement,paulis,repeat_id,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,cpu_summary,ram_summary,gpu_summary
1,PauliFeatureMap,2,circular,"[""X"", ""Y"", ""Z""]",0,0.9210526315789473,0.9219594594594596,0.9091057975761545,0.9147486497714998,0.9204425688233878,291.05593103600404,186.37929127599637,"{""fit_peak_cpu_percent"": 189.2, ""predict_peak_cpu_percent"": 192.4}","{""fit_peak_ram_mb"": 567.10546875, ""predict_peak_ram_mb"": 567.10546875}","{""fit_peak_gpu_memory_mb"": 2516.3671875, ""predict_peak_gpu_memory_mb"": 2567.1484375}"
1,PauliFeatureMap,2,circular,"[""X"", ""Y"", ""Z""]",1,0.8947368421052632,0.8879790370127743,0.8879790370127743,0.8879790370127743,0.8947368421052632,282.3460800390021,189.38790356800018,"{""fit_peak_cpu_percent"": 187.2, ""predict_peak_cpu_percent"": 290.3}","{""fit_peak_ram_mb"": 567.32421875, ""predict_peak_ram_mb"": 567.32421875}","{""fit_peak_gpu_memory_mb"": 2564.140625, ""predict_peak_gpu_memory_mb"": 2518.296875}"
1,PauliFeatureMap,2,circular,"[""X"", ""Y"", ""Z""]",2,0.9473684210526315,0.9410628019323671,0.9485751719620046,0.9444805194805195,0.9475905673274094,278.8694013839995,187.4335361170015,"{""fit_peak_cpu_percent"": 104.7, ""predict_peak_cpu_percent"": 192.3}","{""fit_peak_ram_mb"": 567.32421875, ""predict_peak_ram_mb"": 567.32421875}","{""fit_peak_gpu_memory_mb"": 2518.296875, ""predict_peak_gpu_memory_mb"": 2518.296875}"
2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",0,0.956140350877193,0.960472972972973,0.9464461185718964,0.9526381387619444,0.9558014271241044,192.8026738519984,119.4457753730021,"{""fit_peak_cpu_percent"": 193.9, ""predict_peak_cpu_percent"": 102.3}","{""fit_peak_ram_mb"": 567.32421875, ""predict_peak_ram_mb"": 567.32421875}","{""fit_peak_gpu_memory_mb"": 2518.296875, ""predict_peak_gpu_memory_mb"": 2518.296875}"
2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",1,0.9649122807017544,0.9672569328433009,0.9580740255486406,0.9623015873015872,0.9647382344750765,189.69779093499528,120.54853818500123,"{""fit_peak_cpu_percent"": 193.7, ""predict_peak_cpu_percent"": 188.5}","{""fit_peak_ram_mb"": 567.32421875, ""predict_peak_ram_mb"": 567.32421875}","{""fit_peak_gpu_memory_mb"": 2518.296875, ""predict_peak_gpu_memory_mb"": 2518.296875}"
2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",2,0.956140350877193,0.9671052631578947,0.9418604651162791,0.9521289997480473,0.95553257040308,182.9606851399949,120.4338676490006,"{""fit_peak_cpu_percent"": 104.7, ""predict_peak_cpu_percent"": 105.8}","{""fit_peak_ram_mb"": 567.32421875, ""predict_peak_ram_mb"": 567.32421875}","{""fit_peak_gpu_memory_mb"": 2518.296875, ""predict_peak_gpu_memory_mb"": 2518.296875}"
3,PauliFeatureMap,2,circular,"[""X"", ""Z""]",0,0.8947368421052632,0.8910791847644504,0.8833933835571569,0.8869047619047619,0.8942147034252296,176.5004587279982,148.74397123099334,"{""fit_peak_cpu_percent"": 289.5, ""predict_peak_cpu_percent"": 273.8}","{""fit_peak_ram_mb"": 567.32421875, ""predict_peak_ram_mb"": 567.32421875}","{""fit_peak_gpu_memory_mb"": 2548.640625, ""predict_peak_gpu_memory_mb"": 2514.421875}"
3,PauliFeatureMap,2,circular,"[""X"", ""Z""]",1,0.9298245614035088,0.9343589743589744,0.9161480510972814,0.9238222519211494,0.9290742727182139,216.37481208899408,141.4556879629963,"{""fit_peak_cpu_percent"": 431.8, ""predict_peak_cpu_percent"": 103.3}","{""fit_peak_ram_mb"": 567.98046875, ""predict_peak_ram_mb"": 567.98046875}","{""fit_peak_gpu_memory_mb"": 2514.421875, ""predict_peak_gpu_memory_mb"": 2550.796875}"
3,PauliFeatureMap,2,circular,"[""X"", ""Z""]",2,0.9736842105263158,0.9742063492063492,0.9697019325253848,0.9718634306869601,0.973621425014614,229.26747497600445,146.35453289500583,"{""fit_peak_cpu_percent"": 104.2, ""predict_peak_cpu_percent"": 150.3}","{""fit_peak_ram_mb"": 567.98046875, ""predict_peak_ram_mb"": 567.98046875}","{""fit_peak_gpu_memory_mb"": 2510.984375, ""predict_peak_gpu_memory_mb"": 2510.984375}"
4,PauliFeatureMap,3,circular,"[""X"", ""Y"", ""Z""]",0,0.9473684210526315,0.9410628019323671,0.9485751719620046,0.9444805194805195,0.9475905673274094,366.2019961370024,244.31401247400208,"{""fit_peak_cpu_percent"": 481.5, ""predict_peak_cpu_percent"": 193.4}","{""fit_peak_ram_mb"": 568.63671875, ""predict_peak_ram_mb"": 568.63671875}","{""fit_peak_gpu_memory_mb"": 2510.984375, ""predict_peak_gpu_memory_mb"": 2510.984375}"
