number,value,datetime_start,datetime_complete,duration,params_entanglement,params_feature_map_type,params_paulis,params_reps,user_attrs_canonical_params,user_attrs_macro_f1,state,trial_number,suggested_feature_map_type,suggested_reps,suggested_entanglement,suggested_paulis,feature_map_type,reps,entanglement,paulis,cache_hit,status,error_message,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,peak_cpu_percent,peak_ram_mb,peak_gpu_memory_mb
0,0.35106382978723405,2026-06-27 00:24:00.536178,2026-06-27 00:25:28.465630,0 days 00:01:27.929452,linear,ZZFeatureMap,,2,"{""entanglement"": ""linear"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 2}",0.35106382978723405,COMPLETE,0,ZZFeatureMap,2,linear,,ZZFeatureMap,2,linear,,False,completed,,0.5409836065573771,0.27049180327868855,0.5,0.35106382978723405,0.37983955354028603,50.8400968950009,37.07527837700036,195.0,553.76953125,2724.35546875
1,0.35106382978723405,2026-06-27 00:25:28.465825,2026-06-27 00:26:19.667443,0 days 00:00:51.201618,linear,ZFeatureMap,,1,"{""entanglement"": null, ""feature_map_type"": ""ZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.35106382978723405,COMPLETE,1,ZFeatureMap,1,linear,,ZFeatureMap,1,,,False,completed,,0.5409836065573771,0.27049180327868855,0.5,0.35106382978723405,0.37983955354028603,31.411176939000143,19.79380901800323,142.4,553.76953125,2724.35546875
2,0.8498769483182937,2026-06-27 00:26:19.667644,2026-06-27 00:28:10.143157,0 days 00:01:50.475513,full,PauliFeatureMap,"[""Y"", ""Z""]",2,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 2}",0.8498769483182937,COMPLETE,2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",PauliFeatureMap,2,full,"[""Y"", ""Z""]",False,completed,,0.8524590163934426,0.8566666666666667,0.8474025974025974,0.8498769483182937,0.8514907408652618,68.21842529500282,42.26113726300537,103.1,553.76953125,2724.35546875
3,0.35106382978723405,2026-06-27 00:28:10.143330,2026-06-27 00:30:16.547782,0 days 00:02:06.404452,full,ZZFeatureMap,,2,"{""entanglement"": ""full"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 2}",0.35106382978723405,COMPLETE,3,ZZFeatureMap,2,full,,ZZFeatureMap,2,full,,False,completed,,0.5409836065573771,0.27049180327868855,0.5,0.35106382978723405,0.37983955354028603,76.22297527800401,50.19660910600214,190.1,554.20703125,2724.35546875
4,0.35106382978723405,2026-06-27 00:30:16.547954,2026-06-27 00:30:16.548404,0 days 00:00:00.000450,linear,ZFeatureMap,,1,"{""entanglement"": null, ""feature_map_type"": ""ZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.35106382978723405,COMPLETE,4,ZFeatureMap,1,linear,,ZFeatureMap,1,,,True,completed,,0.5409836065573771,0.27049180327868855,0.5,0.35106382978723405,0.37983955354028603,31.411176939000143,19.79380901800323,142.4,553.76953125,2724.35546875
5,0.35106382978723405,2026-06-27 00:30:16.548520,2026-06-27 00:31:25.266895,0 days 00:01:08.718375,linear,PauliFeatureMap,"[""Z"", ""ZZ""]",1,"{""entanglement"": ""linear"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Z"", ""ZZ""], ""reps"": 1}",0.35106382978723405,COMPLETE,5,PauliFeatureMap,1,linear,"[""Z"", ""ZZ""]",PauliFeatureMap,1,linear,"[""Z"", ""ZZ""]",False,completed,,0.5409836065573771,0.27049180327868855,0.5,0.35106382978723405,0.37983955354028603,41.15039780999359,27.556524152001657,265.7,554.20703125,2724.35546875
6,0.35106382978723405,2026-06-27 00:31:25.267112,2026-06-27 00:32:37.158523,0 days 00:01:11.891411,full,ZZFeatureMap,,1,"{""entanglement"": ""full"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.35106382978723405,COMPLETE,6,ZZFeatureMap,1,full,,ZZFeatureMap,1,full,,False,completed,,0.5409836065573771,0.27049180327868855,0.5,0.35106382978723405,0.37983955354028603,41.82042169300257,30.077114636005717,106.1,554.42578125,2724.35546875
7,0.35106382978723405,2026-06-27 00:32:37.158682,2026-06-27 00:32:37.159060,0 days 00:00:00.000378,full,ZZFeatureMap,,1,"{""entanglement"": ""full"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.35106382978723405,COMPLETE,7,ZZFeatureMap,1,full,,ZZFeatureMap,1,full,,True,completed,,0.5409836065573771,0.27049180327868855,0.5,0.35106382978723405,0.37983955354028603,41.82042169300257,30.077114636005717,106.1,554.42578125,2724.35546875
8,0.35106382978723405,2026-06-27 00:32:37.159146,2026-06-27 00:33:40.833502,0 days 00:01:03.674356,circular,ZZFeatureMap,,1,"{""entanglement"": ""circular"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.35106382978723405,COMPLETE,8,ZZFeatureMap,1,circular,,ZZFeatureMap,1,circular,,False,completed,,0.5409836065573771,0.27049180327868855,0.5,0.35106382978723405,0.37983955354028603,39.29795309299516,24.381032064004103,103.7,554.42578125,2724.35546875
9,0.35106382978723405,2026-06-27 00:33:40.833668,2026-06-27 00:35:23.286485,0 days 00:01:42.452817,circular,ZZFeatureMap,,2,"{""entanglement"": ""circular"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 2}",0.35106382978723405,COMPLETE,9,ZZFeatureMap,2,circular,,ZZFeatureMap,2,circular,,False,completed,,0.5409836065573771,0.27049180327868855,0.5,0.35106382978723405,0.37983955354028603,57.38801999100542,45.06697822300339,139.1,554.42578125,2724.35546875
10,0.5788456227561447,2026-06-27 00:35:23.286650,2026-06-27 00:37:39.971139,0 days 00:02:16.684489,full,PauliFeatureMap,"[""Y"", ""Z""]",3,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 3}",0.5788456227561447,COMPLETE,10,PauliFeatureMap,3,full,"[""Y"", ""Z""]",PauliFeatureMap,3,full,"[""Y"", ""Z""]",False,completed,,0.5901639344262295,0.5852402745995423,0.5806277056277056,0.5788456227561447,0.5845047785911871,85.02034818500397,51.66204302299593,104.4,554.64453125,2724.35546875
11,0.5788456227561447,2026-06-27 00:37:39.971298,2026-06-27 00:37:39.972866,0 days 00:00:00.001568,full,PauliFeatureMap,"[""Y"", ""Z""]",3,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 3}",0.5788456227561447,COMPLETE,11,PauliFeatureMap,3,full,"[""Y"", ""Z""]",PauliFeatureMap,3,full,"[""Y"", ""Z""]",True,completed,,0.5901639344262295,0.5852402745995423,0.5806277056277056,0.5788456227561447,0.5845047785911871,85.02034818500397,51.66204302299593,104.4,554.64453125,2724.35546875
12,0.5788456227561447,2026-06-27 00:37:39.972954,2026-06-27 00:37:39.974312,0 days 00:00:00.001358,full,PauliFeatureMap,"[""Y"", ""Z""]",3,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 3}",0.5788456227561447,COMPLETE,12,PauliFeatureMap,3,full,"[""Y"", ""Z""]",PauliFeatureMap,3,full,"[""Y"", ""Z""]",True,completed,,0.5901639344262295,0.5852402745995423,0.5806277056277056,0.5788456227561447,0.5845047785911871,85.02034818500397,51.66204302299593,104.4,554.64453125,2724.35546875
13,0.35106382978723405,2026-06-27 00:37:39.974396,2026-06-27 00:38:56.830540,0 days 00:01:16.856144,full,PauliFeatureMap,"[""ZZ""]",3,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""ZZ""], ""reps"": 3}",0.35106382978723405,COMPLETE,13,PauliFeatureMap,3,full,"[""ZZ""]",PauliFeatureMap,3,full,"[""ZZ""]",False,completed,,0.5409836065573771,0.27049180327868855,0.5,0.35106382978723405,0.37983955354028603,46.221366441997816,30.62808091199986,103.9,554.86328125,2488.203125
14,0.35106382978723405,2026-06-27 00:38:56.830694,2026-06-27 00:39:53.779033,0 days 00:00:56.948339,full,PauliFeatureMap,"[""Z""]",2,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Z""], ""reps"": 2}",0.35106382978723405,COMPLETE,14,PauliFeatureMap,2,full,"[""Z""]",PauliFeatureMap,2,full,"[""Z""]",False,completed,,0.5409836065573771,0.27049180327868855,0.5,0.35106382978723405,0.37983955354028603,34.05899982499977,22.87853078199987,145.7,555.30078125,2488.203125
15,0.5788456227561447,2026-06-27 00:39:53.779202,2026-06-27 00:39:53.780708,0 days 00:00:00.001506,full,PauliFeatureMap,"[""Y"", ""Z""]",3,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 3}",0.5788456227561447,COMPLETE,15,PauliFeatureMap,3,full,"[""Y"", ""Z""]",PauliFeatureMap,3,full,"[""Y"", ""Z""]",True,completed,,0.5901639344262295,0.5852402745995423,0.5806277056277056,0.5788456227561447,0.5845047785911871,85.02034818500397,51.66204302299593,104.4,554.64453125,2724.35546875
16,0.7653846153846153,2026-06-27 00:39:53.780796,2026-06-27 00:42:07.352724,0 days 00:02:13.571928,circular,PauliFeatureMap,"[""X"", ""Y"", ""Z""]",2,"{""entanglement"": ""circular"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""X"", ""Y"", ""Z""], ""reps"": 2}",0.7653846153846153,COMPLETE,16,PauliFeatureMap,2,circular,"[""X"", ""Y"", ""Z""]",PauliFeatureMap,2,circular,"[""X"", ""Y"", ""Z""]",False,completed,,0.7704918032786885,0.7742117117117118,0.7635281385281385,0.7653846153846153,0.7682219419924338,76.85433125899726,56.6947306669972,145.4,555.51953125,2739.0703125
17,0.7653846153846153,2026-06-27 00:42:07.352889,2026-06-27 00:42:07.354471,0 days 00:00:00.001582,circular,PauliFeatureMap,"[""X"", ""Y"", ""Z""]",2,"{""entanglement"": ""circular"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""X"", ""Y"", ""Z""], ""reps"": 2}",0.7653846153846153,COMPLETE,17,PauliFeatureMap,2,circular,"[""X"", ""Y"", ""Z""]",PauliFeatureMap,2,circular,"[""X"", ""Y"", ""Z""]",True,completed,,0.7704918032786885,0.7742117117117118,0.7635281385281385,0.7653846153846153,0.7682219419924338,76.85433125899726,56.6947306669972,145.4,555.51953125,2739.0703125
18,0.35106382978723405,2026-06-27 00:42:07.354558,2026-06-27 00:43:17.799222,0 days 00:01:10.444664,circular,ZFeatureMap,,2,"{""entanglement"": null, ""feature_map_type"": ""ZFeatureMap"", ""paulis"": null, ""reps"": 2}",0.35106382978723405,COMPLETE,18,ZFeatureMap,2,circular,,ZFeatureMap,2,,,False,completed,,0.5409836065573771,0.27049180327868855,0.5,0.35106382978723405,0.37983955354028603,41.158228154003154,29.27282880700659,192.1,555.73828125,2713.60546875
19,0.7653846153846153,2026-06-27 00:43:17.799414,2026-06-27 00:43:17.801005,0 days 00:00:00.001591,circular,PauliFeatureMap,"[""X"", ""Y"", ""Z""]",2,"{""entanglement"": ""circular"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""X"", ""Y"", ""Z""], ""reps"": 2}",0.7653846153846153,COMPLETE,19,PauliFeatureMap,2,circular,"[""X"", ""Y"", ""Z""]",PauliFeatureMap,2,circular,"[""X"", ""Y"", ""Z""]",True,completed,,0.7704918032786885,0.7742117117117118,0.7635281385281385,0.7653846153846153,0.7682219419924338,76.85433125899726,56.6947306669972,145.4,555.51953125,2739.0703125
20,0.8498769483182937,2026-06-27 00:43:17.801094,2026-06-27 00:45:09.517069,0 days 00:01:51.715975,circular,PauliFeatureMap,"[""X"", ""Z""]",2,"{""entanglement"": ""circular"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""X"", ""Z""], ""reps"": 2}",0.8498769483182937,COMPLETE,20,PauliFeatureMap,2,circular,"[""X"", ""Z""]",PauliFeatureMap,2,circular,"[""X"", ""Z""]",False,completed,,0.8524590163934426,0.8566666666666667,0.8474025974025974,0.8498769483182937,0.8514907408652618,64.27373140499549,47.41975594199903,352.7,555.95703125,2713.60546875
21,0.8498769483182937,2026-06-27 00:45:09.517279,2026-06-27 00:45:09.518970,0 days 00:00:00.001691,circular,PauliFeatureMap,"[""X"", ""Z""]",2,"{""entanglement"": ""circular"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""X"", ""Z""], ""reps"": 2}",0.8498769483182937,COMPLETE,21,PauliFeatureMap,2,circular,"[""X"", ""Z""]",PauliFeatureMap,2,circular,"[""X"", ""Z""]",True,completed,,0.8524590163934426,0.8566666666666667,0.8474025974025974,0.8498769483182937,0.8514907408652618,64.27373140499549,47.41975594199903,352.7,555.95703125,2713.60546875
22,0.8498769483182937,2026-06-27 00:45:09.519059,2026-06-27 00:45:09.520487,0 days 00:00:00.001428,circular,PauliFeatureMap,"[""X"", ""Z""]",2,"{""entanglement"": ""circular"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""X"", ""Z""], ""reps"": 2}",0.8498769483182937,COMPLETE,22,PauliFeatureMap,2,circular,"[""X"", ""Z""]",PauliFeatureMap,2,circular,"[""X"", ""Z""]",True,completed,,0.8524590163934426,0.8566666666666667,0.8474025974025974,0.8498769483182937,0.8514907408652618,64.27373140499549,47.41975594199903,352.7,555.95703125,2713.60546875
23,0.8498769483182937,2026-06-27 00:45:09.520573,2026-06-27 00:45:09.521919,0 days 00:00:00.001346,circular,PauliFeatureMap,"[""X"", ""Z""]",2,"{""entanglement"": ""circular"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""X"", ""Z""], ""reps"": 2}",0.8498769483182937,COMPLETE,23,PauliFeatureMap,2,circular,"[""X"", ""Z""]",PauliFeatureMap,2,circular,"[""X"", ""Z""]",True,completed,,0.8524590163934426,0.8566666666666667,0.8474025974025974,0.8498769483182937,0.8514907408652618,64.27373140499549,47.41975594199903,352.7,555.95703125,2713.60546875
24,0.8498769483182937,2026-06-27 00:45:09.522002,2026-06-27 00:45:09.523370,0 days 00:00:00.001368,circular,PauliFeatureMap,"[""X"", ""Z""]",2,"{""entanglement"": ""circular"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""X"", ""Z""], ""reps"": 2}",0.8498769483182937,COMPLETE,24,PauliFeatureMap,2,circular,"[""X"", ""Z""]",PauliFeatureMap,2,circular,"[""X"", ""Z""]",True,completed,,0.8524590163934426,0.8566666666666667,0.8474025974025974,0.8498769483182937,0.8514907408652618,64.27373140499549,47.41975594199903,352.7,555.95703125,2713.60546875
25,0.35106382978723405,2026-06-27 00:45:09.523459,2026-06-27 00:45:09.524699,0 days 00:00:00.001240,circular,ZFeatureMap,,2,"{""entanglement"": null, ""feature_map_type"": ""ZFeatureMap"", ""paulis"": null, ""reps"": 2}",0.35106382978723405,COMPLETE,25,ZFeatureMap,2,circular,,ZFeatureMap,2,,,True,completed,,0.5409836065573771,0.27049180327868855,0.5,0.35106382978723405,0.37983955354028603,41.158228154003154,29.27282880700659,192.1,555.73828125,2713.60546875
26,0.8498769483182937,2026-06-27 00:45:09.524784,2026-06-27 00:45:09.526123,0 days 00:00:00.001339,circular,PauliFeatureMap,"[""X"", ""Z""]",2,"{""entanglement"": ""circular"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""X"", ""Z""], ""reps"": 2}",0.8498769483182937,COMPLETE,26,PauliFeatureMap,2,circular,"[""X"", ""Z""]",PauliFeatureMap,2,circular,"[""X"", ""Z""]",True,completed,,0.8524590163934426,0.8566666666666667,0.8474025974025974,0.8498769483182937,0.8514907408652618,64.27373140499549,47.41975594199903,352.7,555.95703125,2713.60546875
27,0.5788456227561447,2026-06-27 00:45:09.526205,2026-06-27 00:47:24.513394,0 days 00:02:14.987189,circular,PauliFeatureMap,"[""X"", ""Z""]",3,"{""entanglement"": ""circular"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""X"", ""Z""], ""reps"": 3}",0.5788456227561447,COMPLETE,27,PauliFeatureMap,3,circular,"[""X"", ""Z""]",PauliFeatureMap,3,circular,"[""X"", ""Z""]",False,completed,,0.5901639344262295,0.5852402745995423,0.5806277056277056,0.5788456227561447,0.5845047785911871,78.13314238099701,56.82805255600397,127.1,556.17578125,2713.60546875
28,0.35106382978723405,2026-06-27 00:47:24.513582,2026-06-27 00:48:23.037552,0 days 00:00:58.523970,linear,PauliFeatureMap,"[""ZZ""]",2,"{""entanglement"": ""linear"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""ZZ""], ""reps"": 2}",0.35106382978723405,COMPLETE,28,PauliFeatureMap,2,linear,"[""ZZ""]",PauliFeatureMap,2,linear,"[""ZZ""]",False,completed,,0.5409836065573771,0.27049180327868855,0.5,0.35106382978723405,0.37983955354028603,36.24889828800224,22.262458234996302,104.0,556.17578125,2713.60546875
29,0.35106382978723405,2026-06-27 00:48:23.037734,2026-06-27 00:48:23.039158,0 days 00:00:00.001424,circular,ZFeatureMap,,2,"{""entanglement"": null, ""feature_map_type"": ""ZFeatureMap"", ""paulis"": null, ""reps"": 2}",0.35106382978723405,COMPLETE,29,ZFeatureMap,2,circular,,ZFeatureMap,2,,,True,completed,,0.5409836065573771,0.27049180327868855,0.5,0.35106382978723405,0.37983955354028603,41.158228154003154,29.27282880700659,192.1,555.73828125,2713.60546875
30,0.35106382978723405,2026-06-27 00:48:23.039257,2026-06-27 00:49:34.908725,0 days 00:01:11.869468,linear,PauliFeatureMap,"[""Z""]",2,"{""entanglement"": ""linear"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Z""], ""reps"": 2}",0.35106382978723405,COMPLETE,30,PauliFeatureMap,2,linear,"[""Z""]",PauliFeatureMap,2,linear,"[""Z""]",False,completed,,0.5409836065573771,0.27049180327868855,0.5,0.35106382978723405,0.37983955354028603,43.89248324899381,27.964137643997674,272.5,556.17578125,2713.60546875
31,0.8498769483182937,2026-06-27 00:49:34.908912,2026-06-27 00:49:34.910675,0 days 00:00:00.001763,circular,PauliFeatureMap,"[""X"", ""Z""]",2,"{""entanglement"": ""circular"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""X"", ""Z""], ""reps"": 2}",0.8498769483182937,COMPLETE,31,PauliFeatureMap,2,circular,"[""X"", ""Z""]",PauliFeatureMap,2,circular,"[""X"", ""Z""]",True,completed,,0.8524590163934426,0.8566666666666667,0.8474025974025974,0.8498769483182937,0.8514907408652618,64.27373140499549,47.41975594199903,352.7,555.95703125,2713.60546875
