number,value,datetime_start,datetime_complete,duration,params_entanglement,params_feature_map_type,params_paulis,params_reps,user_attrs_canonical_params,user_attrs_macro_f1,state,trial_number,suggested_feature_map_type,suggested_reps,suggested_entanglement,suggested_paulis,feature_map_type,reps,entanglement,paulis,cache_hit,status,error_message,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,peak_cpu_percent,peak_ram_mb,peak_gpu_memory_mb
0,0.32448466566113626,2026-06-26 19:17:58.598139,2026-06-26 19:18:16.305435,0 days 00:00:17.707296,linear,ZZFeatureMap,,2,"{""entanglement"": ""linear"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 2}",0.32448466566113626,COMPLETE,0,ZZFeatureMap,2,linear,,ZZFeatureMap,2,linear,,False,completed,,0.36666666666666664,0.37063492063492065,0.3666666666666667,0.32448466566113626,0.32448466566113626,9.88482463499895,7.8060924479977984,129.3,541.58984375,2403.23828125
1,0.18487394957983194,2026-06-26 19:18:16.305609,2026-06-26 19:18:30.022645,0 days 00:00:13.717036,linear,ZFeatureMap,,1,"{""entanglement"": null, ""feature_map_type"": ""ZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.18487394957983194,COMPLETE,1,ZFeatureMap,1,linear,,ZFeatureMap,1,,,False,completed,,0.26666666666666666,0.18055555555555558,0.26666666666666666,0.18487394957983194,0.18487394957983191,8.160782814000413,5.5527730399990105,103.1,541.58984375,2403.23828125
2,0.9333333333333332,2026-06-26 19:18:30.022820,2026-06-26 19:18:51.316613,0 days 00:00:21.293793,full,PauliFeatureMap,"[""Y"", ""Z""]",2,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 2}",0.9333333333333332,COMPLETE,2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",PauliFeatureMap,2,full,"[""Y"", ""Z""]",False,completed,,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,12.820849527000973,8.458641733999684,128.9,541.58984375,2403.23828125
3,0.2277526395173454,2026-06-26 19:18:51.316768,2026-06-26 19:19:16.502601,0 days 00:00:25.185833,full,ZZFeatureMap,,2,"{""entanglement"": ""full"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 2}",0.2277526395173454,COMPLETE,3,ZZFeatureMap,2,full,,ZZFeatureMap,2,full,,False,completed,,0.3333333333333333,0.23611111111111108,0.3333333333333333,0.2277526395173454,0.2277526395173454,14.396209094000369,10.781236154998624,193.9,541.80859375,2456.26953125
4,0.18487394957983194,2026-06-26 19:19:16.502770,2026-06-26 19:19:16.503118,0 days 00:00:00.000348,linear,ZFeatureMap,,1,"{""entanglement"": null, ""feature_map_type"": ""ZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.18487394957983194,COMPLETE,4,ZFeatureMap,1,linear,,ZFeatureMap,1,,,True,completed,,0.26666666666666666,0.18055555555555558,0.26666666666666666,0.18487394957983194,0.18487394957983191,8.160782814000413,5.5527730399990105,103.1,541.58984375,2403.23828125
5,0.19266381766381765,2026-06-26 19:19:16.503198,2026-06-26 19:19:31.449125,0 days 00:00:14.945927,linear,PauliFeatureMap,"[""Z"", ""ZZ""]",1,"{""entanglement"": ""linear"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Z"", ""ZZ""], ""reps"": 1}",0.19266381766381765,COMPLETE,5,PauliFeatureMap,1,linear,"[""Z"", ""ZZ""]",PauliFeatureMap,1,linear,"[""Z"", ""ZZ""]",False,completed,,0.2,0.20138888888888887,0.20000000000000004,0.19266381766381765,0.19266381766381765,8.963520419998531,5.979290251998464,107.7,541.80859375,2454.359375
6,0.28518518518518515,2026-06-26 19:19:31.449296,2026-06-26 19:19:48.172060,0 days 00:00:16.722764,full,ZZFeatureMap,,1,"{""entanglement"": ""full"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.28518518518518515,COMPLETE,6,ZZFeatureMap,1,full,,ZZFeatureMap,1,full,,False,completed,,0.3333333333333333,0.3666666666666667,0.3333333333333333,0.28518518518518515,0.28518518518518515,10.102590072998282,6.602673818000767,106.4,541.80859375,2420.17578125
7,0.28518518518518515,2026-06-26 19:19:48.172220,2026-06-26 19:19:48.172576,0 days 00:00:00.000356,full,ZZFeatureMap,,1,"{""entanglement"": ""full"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.28518518518518515,COMPLETE,7,ZZFeatureMap,1,full,,ZZFeatureMap,1,full,,True,completed,,0.3333333333333333,0.3666666666666667,0.3333333333333333,0.28518518518518515,0.28518518518518515,10.102590072998282,6.602673818000767,106.4,541.80859375,2420.17578125
8,0.3311355311355311,2026-06-26 19:19:48.172653,2026-06-26 19:20:03.313550,0 days 00:00:15.140897,circular,ZZFeatureMap,,1,"{""entanglement"": ""circular"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.3311355311355311,COMPLETE,8,ZZFeatureMap,1,circular,,ZZFeatureMap,1,circular,,False,completed,,0.3333333333333333,0.3833333333333333,0.3333333333333333,0.3311355311355311,0.3311355311355311,9.196676677998767,5.941006938002829,115.0,541.80859375,2420.17578125
9,0.26472626472626476,2026-06-26 19:20:03.313705,2026-06-26 19:20:24.659068,0 days 00:00:21.345363,circular,ZZFeatureMap,,2,"{""entanglement"": ""circular"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 2}",0.26472626472626476,COMPLETE,9,ZZFeatureMap,2,circular,,ZZFeatureMap,2,circular,,False,completed,,0.36666666666666664,0.3333333333333333,0.3666666666666667,0.26472626472626476,0.2647262647262647,12.566045470000972,8.773479577001126,117.6,541.80859375,2421.30078125
