number,value,datetime_start,datetime_complete,duration,params_entanglement,params_feature_map_type,params_paulis,params_reps,user_attrs_canonical_params,user_attrs_macro_f1,state,trial_number,suggested_feature_map_type,suggested_reps,suggested_entanglement,suggested_paulis,feature_map_type,reps,entanglement,paulis,cache_hit,status,error_message,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,peak_cpu_percent,peak_ram_mb,peak_gpu_memory_mb
0,0.18666666666666668,2026-06-26 23:49:59.765944,2026-06-26 23:50:26.033031,0 days 00:00:26.267087,linear,ZZFeatureMap,,2,"{""entanglement"": ""linear"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 2}",0.18666666666666668,COMPLETE,0,ZZFeatureMap,2,linear,,ZZFeatureMap,2,linear,,False,completed,,0.3888888888888889,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.2177777777777778,14.510478639997018,11.743416844998137,102.4,548.5234375,2772.59375
1,0.18666666666666668,2026-06-26 23:50:26.033201,2026-06-26 23:50:46.834205,0 days 00:00:20.801004,linear,ZFeatureMap,,1,"{""entanglement"": null, ""feature_map_type"": ""ZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.18666666666666668,COMPLETE,1,ZFeatureMap,1,linear,,ZFeatureMap,1,,,False,completed,,0.3888888888888889,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.2177777777777778,12.44180126599531,8.345431320005446,104.1,548.7421875,2772.59375
2,0.8803299097416745,2026-06-26 23:50:46.834399,2026-06-26 23:51:21.753812,0 days 00:00:34.919413,full,PauliFeatureMap,"[""Y"", ""Z""]",2,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 2}",0.8803299097416745,COMPLETE,2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",PauliFeatureMap,2,full,"[""Y"", ""Z""]",False,completed,,0.8888888888888888,0.9095238095238095,0.8761904761904762,0.8803299097416745,0.8861655773420478,22.480409256000712,12.428815307997866,122.4,548.7421875,2772.59375
3,0.18666666666666668,2026-06-26 23:51:21.754005,2026-06-26 23:51:51.439147,0 days 00:00:29.685142,full,ZZFeatureMap,,2,"{""entanglement"": ""full"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 2}",0.18666666666666668,COMPLETE,3,ZZFeatureMap,2,full,,ZZFeatureMap,2,full,,False,completed,,0.3888888888888889,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.2177777777777778,17.60925216999749,12.069583630000125,111.3,548.9609375,2526.13671875
4,0.18666666666666668,2026-06-26 23:51:51.439303,2026-06-26 23:51:51.439690,0 days 00:00:00.000387,linear,ZFeatureMap,,1,"{""entanglement"": null, ""feature_map_type"": ""ZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.18666666666666668,COMPLETE,4,ZFeatureMap,1,linear,,ZFeatureMap,1,,,True,completed,,0.3888888888888889,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.2177777777777778,12.44180126599531,8.345431320005446,104.1,548.7421875,2772.59375
5,0.18666666666666668,2026-06-26 23:51:51.439777,2026-06-26 23:52:11.571343,0 days 00:00:20.131566,linear,PauliFeatureMap,"[""Z"", ""ZZ""]",1,"{""entanglement"": ""linear"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Z"", ""ZZ""], ""reps"": 1}",0.18666666666666668,COMPLETE,5,PauliFeatureMap,1,linear,"[""Z"", ""ZZ""]",PauliFeatureMap,1,linear,"[""Z"", ""ZZ""]",False,completed,,0.3888888888888889,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.2177777777777778,12.032954392001557,8.095587607000198,109.7,548.9609375,2482.38671875
6,0.18666666666666668,2026-06-26 23:52:11.571503,2026-06-26 23:52:37.096656,0 days 00:00:25.525153,full,ZZFeatureMap,,1,"{""entanglement"": ""full"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.18666666666666668,COMPLETE,6,ZZFeatureMap,1,full,,ZZFeatureMap,1,full,,False,completed,,0.3888888888888889,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.2177777777777778,14.493415372002346,11.029597321001347,102.2,549.3984375,2482.38671875
7,0.18666666666666668,2026-06-26 23:52:37.096825,2026-06-26 23:52:37.097176,0 days 00:00:00.000351,full,ZZFeatureMap,,1,"{""entanglement"": ""full"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.18666666666666668,COMPLETE,7,ZZFeatureMap,1,full,,ZZFeatureMap,1,full,,True,completed,,0.3888888888888889,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.2177777777777778,14.493415372002346,11.029597321001347,102.2,549.3984375,2482.38671875
8,0.18666666666666668,2026-06-26 23:52:37.097254,2026-06-26 23:52:59.947333,0 days 00:00:22.850079,circular,ZZFeatureMap,,1,"{""entanglement"": ""circular"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.18666666666666668,COMPLETE,8,ZZFeatureMap,1,circular,,ZZFeatureMap,1,circular,,False,completed,,0.3888888888888889,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.2177777777777778,14.940764138002123,7.903393222004524,119.3,549.6171875,2482.38671875
9,0.18666666666666668,2026-06-26 23:52:59.947490,2026-06-26 23:53:28.049910,0 days 00:00:28.102420,circular,ZZFeatureMap,,2,"{""entanglement"": ""circular"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 2}",0.18666666666666668,COMPLETE,9,ZZFeatureMap,2,circular,,ZZFeatureMap,2,circular,,False,completed,,0.3888888888888889,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.2177777777777778,16.757995519998076,11.334647518997372,159.5,549.6171875,2486.07421875
10,0.8008658008658008,2026-06-26 23:53:28.050078,2026-06-26 23:54:11.588942,0 days 00:00:43.538864,full,PauliFeatureMap,"[""Y"", ""Z""]",3,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 3}",0.8008658008658008,COMPLETE,10,PauliFeatureMap,3,full,"[""Y"", ""Z""]",PauliFeatureMap,3,full,"[""Y"", ""Z""]",False,completed,,0.8055555555555556,0.8079365079365078,0.8023809523809525,0.8008658008658008,0.8080808080808082,25.41227294899727,18.11477336000098,133.3,550.0546875,2813.80859375
