number,value,datetime_start,datetime_complete,duration,params_entanglement,params_feature_map_type,params_paulis,params_reps,user_attrs_macro_f1,state,trial_number,feature_map_type,reps,entanglement,paulis,status,error_message,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,peak_cpu_percent,peak_ram_mb,peak_gpu_memory_mb
0,0.7525247758376593,2026-06-17 12:07:18.628665,2026-06-17 12:12:25.153264,0 days 00:05:06.524599,linear,ZZFeatureMap,,2,0.7525247758376593,COMPLETE,0,ZZFeatureMap,2,linear,,completed,,0.7982456140350878,0.857707509881423,0.7371437929905011,0.7525247758376593,0.7786509690933326,183.07728080000015,123.43321789999754,293.0,773.14453125,6963.71875
1,0.0,2026-06-17 12:12:25.153784,2026-06-17 12:12:25.154302,0 days 00:00:00.000518,linear,ZFeatureMap,,1,,COMPLETE,1,ZFeatureMap,1,linear,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
2,0.9434523809523809,2026-06-17 12:12:25.154302,2026-06-17 12:17:58.943570,0 days 00:05:33.789268,full,PauliFeatureMap,"[""Y"", ""Z""]",2,0.9434523809523809,COMPLETE,2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",completed,,0.9473684210526315,0.9482124958235884,0.9394038650507697,0.9434523809523809,0.947107351712615,205.54154589999962,128.22074749999956,208.3,753.73828125,6986.359375
3,0.6289330922242314,2026-06-17 12:17:58.943570,2026-06-17 12:24:42.815277,0 days 00:06:43.871707,full,ZZFeatureMap,,2,0.6289330922242314,COMPLETE,3,ZZFeatureMap,2,full,,completed,,0.6842105263157895,0.665389527458493,0.6272518833933836,0.6289330922242314,0.6641096411915866,238.53322339999795,165.31515670000226,195.3,754.234375,3116.5234375
4,0.0,2026-06-17 12:24:42.815882,2026-06-17 12:24:42.815882,0 days 00:00:00,linear,ZFeatureMap,,1,,COMPLETE,4,ZFeatureMap,1,linear,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
5,0.8492063492063492,2026-06-17 12:24:42.815882,2026-06-17 12:28:06.294879,0 days 00:03:23.478997,linear,PauliFeatureMap,"[""Z"", ""ZZ""]",1,0.8492063492063492,COMPLETE,5,PauliFeatureMap,1,linear,"[""Z"", ""ZZ""]",completed,,0.8596491228070176,0.852990310725025,0.846053062561415,0.8492063492063492,0.8589529379003062,121.24654840000221,82.22049440000046,232.7,753.16796875,3105.48828125
6,0.857914416285833,2026-06-17 12:28:06.294879,2026-06-17 12:32:26.170227,0 days 00:04:19.875348,full,ZZFeatureMap,,1,0.857914416285833,COMPLETE,6,ZZFeatureMap,1,full,,completed,,0.868421052631579,0.8641891891891892,0.8530953160825417,0.857914416285833,0.8674042813723132,156.36727459999747,103.49230819999866,104.2,753.57421875,3188.65234375
7,0.857914416285833,2026-06-17 12:32:26.171729,2026-06-17 12:36:39.392581,0 days 00:04:13.220852,full,ZZFeatureMap,,1,0.857914416285833,COMPLETE,7,ZZFeatureMap,1,full,,completed,,0.868421052631579,0.8641891891891892,0.8530953160825417,0.857914416285833,0.8674042813723132,144.53743649999888,108.66430220000257,109.8,731.34765625,3124.72265625
8,0.8372385991433611,2026-06-17 12:36:39.393644,2026-06-17 12:40:19.808063,0 days 00:03:40.414419,circular,ZZFeatureMap,,1,0.8372385991433611,COMPLETE,8,ZZFeatureMap,1,circular,,completed,,0.8508771929824561,0.8486842105263157,0.8298395021290534,0.8372385991433611,0.848810739370472,131.99185330000182,88.41004379999868,193.8,728.9921875,3215.28515625
9,0.7481219619973487,2026-06-17 12:40:19.808063,2026-06-17 12:45:58.199277,0 days 00:05:38.391214,circular,ZZFeatureMap,,2,0.7481219619973487,COMPLETE,9,ZZFeatureMap,2,circular,,completed,,0.7807017543859649,0.786904761904762,0.7368162463150999,0.7481219619973487,0.7703715763115256,202.65729400000055,135.7198023000019,133.9,732.640625,3230.91015625
10,0.8934669951575906,2026-06-17 12:45:58.200280,2026-06-17 12:53:17.592296,0 days 00:07:19.392016,full,PauliFeatureMap,"[""Y"", ""Z""]",3,0.8934669951575906,COMPLETE,10,PauliFeatureMap,3,full,"[""Y"", ""Z""]",completed,,0.9035087719298246,0.9145299145299145,0.8812643301670489,0.8934669951575906,0.9015004165753777,261.82876199999737,177.53334600000017,110.0,731.2890625,3234.8671875
11,0.8934669951575906,2026-06-17 12:53:17.592880,2026-06-17 13:00:23.776862,0 days 00:07:06.183982,full,PauliFeatureMap,"[""Y"", ""Z""]",3,0.8934669951575906,COMPLETE,11,PauliFeatureMap,3,full,"[""Y"", ""Z""]",completed,,0.9035087719298246,0.9145299145299145,0.8812643301670489,0.8934669951575906,0.9015004165753777,249.4342676999986,176.72861179999745,208.3,680.57421875,3159.8359375
12,0.8934669951575906,2026-06-17 13:00:23.776862,2026-06-17 13:07:34.913662,0 days 00:07:11.136800,full,PauliFeatureMap,"[""Y"", ""Z""]",3,0.8934669951575906,COMPLETE,12,PauliFeatureMap,3,full,"[""Y"", ""Z""]",completed,,0.9035087719298246,0.9145299145299145,0.8812643301670489,0.8934669951575906,0.9015004165753777,258.91634390000036,172.19319879999966,208.3,679.90234375,3409.06640625
13,0.5017482517482518,2026-06-17 13:07:34.913662,2026-06-17 13:15:00.995942,0 days 00:07:26.082280,full,PauliFeatureMap,"[""ZZ""]",3,0.5017482517482518,COMPLETE,13,PauliFeatureMap,3,full,"[""ZZ""]",completed,,0.6491228070175439,0.6571428571428571,0.5486406812970848,0.5017482517482518,0.5683045025150287,267.3198988000004,178.73386580000079,110.5,678.83984375,3053.51171875
14,0.9531057178116001,2026-06-17 13:15:00.995942,2026-06-17 13:18:20.683364,0 days 00:03:19.687422,full,PauliFeatureMap,"[""Z""]",2,0.9531057178116001,COMPLETE,14,PauliFeatureMap,2,full,"[""Z""]",completed,,0.956140350877193,0.9553571428571428,0.9510317720275139,0.9531057178116001,0.9560357083576898,119.59456560000035,80.08156830000007,119.4,679.3203125,3096.75
15,0.9531057178116001,2026-06-17 13:18:20.683364,2026-06-17 13:21:37.161001,0 days 00:03:16.477637,full,PauliFeatureMap,"[""Z""]",2,0.9531057178116001,COMPLETE,15,PauliFeatureMap,2,full,"[""Z""]",completed,,0.956140350877193,0.9553571428571428,0.9510317720275139,0.9531057178116001,0.9560357083576898,117.44823220000035,79.0164807000001,232.7,626.2109375,2886.390625
16,0.9531057178116001,2026-06-17 13:21:37.161001,2026-06-17 13:24:54.800342,0 days 00:03:17.639341,circular,PauliFeatureMap,"[""Z""]",2,0.9531057178116001,COMPLETE,16,PauliFeatureMap,2,circular,"[""Z""]",completed,,0.956140350877193,0.9553571428571428,0.9510317720275139,0.9531057178116001,0.9560357083576898,119.51416990000143,78.1040436000003,126.3,546.1796875,2928.9296875
17,0.9531057178116001,2026-06-17 13:24:54.800342,2026-06-17 13:27:51.948187,0 days 00:02:57.147845,full,PauliFeatureMap,"[""Z""]",2,0.9531057178116001,COMPLETE,17,PauliFeatureMap,2,full,"[""Z""]",completed,,0.956140350877193,0.9553571428571428,0.9510317720275139,0.9531057178116001,0.9560357083576898,105.65137020000111,71.48190340000292,119.2,546.0625,2929.71875
18,0.0,2026-06-17 13:27:51.949690,2026-06-17 13:27:51.950695,0 days 00:00:00.001005,full,ZFeatureMap,,2,,COMPLETE,18,ZFeatureMap,2,full,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
19,0.8353580834253674,2026-06-17 13:27:51.950695,2026-06-17 13:35:41.734493,0 days 00:07:49.783798,circular,PauliFeatureMap,"[""X"", ""Y"", ""Z""]",2,0.8353580834253674,COMPLETE,19,PauliFeatureMap,2,circular,"[""X"", ""Y"", ""Z""]",completed,,0.8508771929824561,0.8536324786324787,0.825253848673436,0.8353580834253674,0.8477733710710385,279.25374139999985,190.5053478000009,124.0,546.62109375,3551.6171875
20,0.9088874680306905,2026-06-17 13:35:41.735493,2026-06-17 13:39:40.085971,0 days 00:03:58.350478,full,PauliFeatureMap,"[""Z""]",3,0.9088874680306905,COMPLETE,20,PauliFeatureMap,3,full,"[""Z""]",completed,,0.9122807017543859,0.9029827315541601,0.9204061578774976,0.9088874680306905,0.9132061291335756,135.54058169999917,102.7953013999977,108.4,547.47265625,3244.484375
21,0.9531057178116001,2026-06-17 13:39:40.085971,2026-06-17 13:43:11.363388,0 days 00:03:31.277417,circular,PauliFeatureMap,"[""Z""]",2,0.9531057178116001,COMPLETE,21,PauliFeatureMap,2,circular,"[""Z""]",completed,,0.956140350877193,0.9553571428571428,0.9510317720275139,0.9531057178116001,0.9560357083576898,126.75946919999842,84.49781500000245,146.5,545.984375,3419.0078125
22,0.9531057178116001,2026-06-17 13:43:11.363388,2026-06-17 13:46:42.656010,0 days 00:03:31.292622,circular,PauliFeatureMap,"[""Z""]",2,0.9531057178116001,COMPLETE,22,PauliFeatureMap,2,circular,"[""Z""]",completed,,0.956140350877193,0.9553571428571428,0.9510317720275139,0.9531057178116001,0.9560357083576898,124.84032859999934,86.43699639999977,103.3,545.70703125,3419.0078125
23,0.9074675324675325,2026-06-17 13:46:42.656010,2026-06-17 13:52:29.428678,0 days 00:05:46.772668,circular,PauliFeatureMap,"[""X"", ""Z""]",2,0.9074675324675325,COMPLETE,23,PauliFeatureMap,2,circular,"[""X"", ""Z""]",completed,,0.9122807017543859,0.9043478260869565,0.9112348509662627,0.9074675324675325,0.9126509455456824,208.36374269999942,138.38991519999763,107.3,547.23828125,3417.0078125
24,0.9531057178116001,2026-06-17 13:52:29.428678,2026-06-17 13:55:59.056160,0 days 00:03:29.627482,circular,PauliFeatureMap,"[""Z""]",2,0.9531057178116001,COMPLETE,24,PauliFeatureMap,2,circular,"[""Z""]",completed,,0.956140350877193,0.9553571428571428,0.9510317720275139,0.9531057178116001,0.9560357083576898,126.18096050000167,83.43408439999985,121.5,546.7421875,3417.1328125
25,0.0,2026-06-17 13:55:59.057161,2026-06-17 13:55:59.058737,0 days 00:00:00.001576,circular,ZFeatureMap,,2,,COMPLETE,25,ZFeatureMap,2,circular,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
26,0.9531057178116001,2026-06-17 13:55:59.058737,2026-06-17 13:59:05.963242,0 days 00:03:06.904505,full,PauliFeatureMap,"[""Z""]",2,0.9531057178116001,COMPLETE,26,PauliFeatureMap,2,full,"[""Z""]",completed,,0.956140350877193,0.9553571428571428,0.9510317720275139,0.9531057178116001,0.9560357083576898,117.27746740000293,69.60760020000089,137.5,547.41015625,3446.859375
27,0.9088874680306905,2026-06-17 13:59:05.963242,2026-06-17 14:02:40.437438,0 days 00:03:34.474196,full,PauliFeatureMap,"[""Z""]",3,0.9088874680306905,COMPLETE,27,PauliFeatureMap,3,full,"[""Z""]",completed,,0.9122807017543859,0.9029827315541601,0.9204061578774976,0.9088874680306905,0.9132061291335756,128.47787379999863,85.97985979999794,107.8,548.65234375,3434.0703125
28,0.8353580834253674,2026-06-17 14:02:40.438438,2026-06-17 14:09:18.291759,0 days 00:06:37.853321,linear,PauliFeatureMap,"[""X"", ""Y"", ""Z""]",2,0.8353580834253674,COMPLETE,28,PauliFeatureMap,2,linear,"[""X"", ""Y"", ""Z""]",completed,,0.8508771929824561,0.8536324786324787,0.825253848673436,0.8353580834253674,0.8477733710710385,238.11312439999892,159.72036970000045,117.6,548.54296875,3435.6328125
29,0.0,2026-06-17 14:09:18.292760,2026-06-17 14:09:18.293760,0 days 00:00:00.001000,circular,ZFeatureMap,,2,,COMPLETE,29,ZFeatureMap,2,circular,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
30,0.7525247758376593,2026-06-17 14:09:18.293760,2026-06-17 14:13:47.758975,0 days 00:04:29.465215,linear,PauliFeatureMap,"[""Z"", ""ZZ""]",2,0.7525247758376593,COMPLETE,30,PauliFeatureMap,2,linear,"[""Z"", ""ZZ""]",completed,,0.7982456140350878,0.857707509881423,0.7371437929905011,0.7525247758376593,0.7786509690933326,161.71254060000138,107.73784829999931,208.3,548.390625,3485.75390625
31,0.9531057178116001,2026-06-17 14:13:47.759518,2026-06-17 14:16:40.619085,0 days 00:02:52.859567,full,PauliFeatureMap,"[""Z""]",2,0.9531057178116001,COMPLETE,31,PauliFeatureMap,2,full,"[""Z""]",completed,,0.956140350877193,0.9553571428571428,0.9510317720275139,0.9531057178116001,0.9560357083576898,103.30301460000192,69.54124370000136,124.0,548.33203125,3485.44140625
32,0.9531057178116001,2026-06-17 14:16:40.620587,2026-06-17 14:19:34.191294,0 days 00:02:53.570707,full,PauliFeatureMap,"[""Z""]",2,0.9531057178116001,COMPLETE,32,PauliFeatureMap,2,full,"[""Z""]",completed,,0.956140350877193,0.9553571428571428,0.9510317720275139,0.9531057178116001,0.9560357083576898,104.22377939999933,69.334232600002,104.8,548.3125,3485.44140625
33,0.9531057178116001,2026-06-17 14:19:34.191294,2026-06-17 14:22:27.350759,0 days 00:02:53.159465,full,PauliFeatureMap,"[""Z""]",2,0.9531057178116001,COMPLETE,33,PauliFeatureMap,2,full,"[""Z""]",completed,,0.956140350877193,0.9553571428571428,0.9510317720275139,0.9531057178116001,0.9560357083576898,103.86741600000096,69.2793617999996,112.5,548.80078125,3485.44140625
34,0.9074675324675325,2026-06-17 14:22:27.350759,2026-06-17 14:27:12.080666,0 days 00:04:44.729907,full,PauliFeatureMap,"[""X"", ""Z""]",2,0.9074675324675325,COMPLETE,34,PauliFeatureMap,2,full,"[""X"", ""Z""]",completed,,0.9122807017543859,0.9043478260869565,0.9112348509662627,0.9074675324675325,0.9126509455456824,170.54959319999762,114.16585760000089,195.3,548.671875,3483.97265625
