mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0008044719696044921,0.0004022650211897793,0.0009022712707519531,0.000491419075304717,0.1,linear,,,"{'C': 0.1, 'kernel': 'linear'}",0.9372727272727273,0.9536258240509207,0.9683720930232558,0.9840487919305654,1.0,0.9686638872554939,0.022046680782738207,3,0.980190809118054,0.9802325749786396,0.984285056412618,0.976329479768786,0.9724421371403851,0.9786960114836966,0.004013584114448866
0.0014064788818359375,0.0003831860080411846,0.0016694068908691406,0.0004911190323747496,1.0,linear,,,"{'C': 1, 'kernel': 'linear'}",0.9691413237924866,0.9529411764705882,0.9678030303030303,0.952146375791696,0.9843137254901961,0.9652691263695996,0.011902069308589149,10,0.9881144854708325,0.9921098265895953,0.9881894873458793,0.992142528206309,0.9881894873458793,0.9897491629916992,0.0019410448995574822
0.0014103412628173827,0.0003634694358408969,0.0009037494659423828,0.00019546686392415746,10.0,linear,,,"{'C': 10, 'kernel': 'linear'}",0.9695767195767195,0.9367441860465117,0.952146375791696,0.952146375791696,0.9843137254901961,0.958985476539364,0.016382406568344044,17,1.0,0.9960631624486265,0.996079219865286,1.0,0.996079219865286,0.9976443204358396,0.0019234132468311635
0.0015226840972900391,0.0005597033356275544,0.0012037277221679688,0.00024610883677108405,100.0,linear,,,"{'C': 100, 'kernel': 'linear'}",0.9695767195767195,0.9051162790697674,0.952146375791696,0.952146375791696,0.9843137254901961,0.952659895144015,0.026642322564437323,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0013174057006835938,0.00025880213653292736,0.0015546321868896485,0.0005567390159261625,0.1,rbf,scale,,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8516129032258064,0.9688644688644689,0.952146375791696,0.9356060606060606,0.9683720930232558,0.9353203803022575,0.04360678627739506,37,0.9601219798264133,0.9518008474576272,0.9483804343083211,0.952455590386625,0.9401709401709402,0.9505859584299854,0.006469066780663075
0.001302337646484375,0.0007492795915157555,0.0014276981353759765,0.0005716182247491578,0.1,rbf,auto,,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.8516129032258064,0.9688644688644689,0.9683720930232558,0.9356060606060606,0.9683720930232558,0.9385655237485695,0.045308731734307314,31,0.9601219798264133,0.9518008474576272,0.9483804343083211,0.9442857142857143,0.9442857142857143,0.949774938032758,0.005888520666603961
0.0012047290802001953,0.0005071464134185085,0.002247190475463867,0.00030787911970372236,0.1,rbf,0.001,,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.4623376623376624,0.529559748427673,0.38738738738738737,0.5052910052910052,0.5052910052910052,0.4779733617469466,0.05020748238074108,89,0.5029464304046979,0.4854923889406648,0.5010964912280702,0.4922643013345868,0.4922643013345868,0.4948127826485213,0.006410935535764652
0.0010337352752685547,0.0004205231304839014,0.0014040470123291016,0.0003753847945272969,0.1,rbf,0.01,,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.8331721470019342,0.9356060606060606,0.9678030303030303,0.9342995169082126,0.9840487919305654,0.9309859093499606,0.05248052553165135,41,0.9597537878787878,0.9347670250896057,0.9351004397955545,0.9434949733885275,0.9308685743226133,0.9407969600950178,0.010334639801104316
0.0016047000885009766,0.0005850679152442484,0.0013120174407958984,0.00039272130027392086,0.1,rbf,0.1,,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8516129032258064,0.9367441860465117,0.9512311737987091,0.9356060606060606,0.9678030303030303,0.9285994707960235,0.040228033340799656,45,0.9641890606942758,0.9680178069353327,0.9522448979591838,0.9644186349615513,0.9520267104029991,0.9601794221906687,0.0067068887798237995
0.0021312713623046877,0.0001671502582968179,0.001819944381713867,0.00036866542693473855,0.1,rbf,1,,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.38392857142857145,0.38181818181818183,0.38738738738738737,0.38738738738738737,0.38738738738738737,0.3855817830817831,0.0023099101266909018,97,0.3860045146726862,0.3865168539325843,0.38513513513513514,0.38513513513513514,0.38513513513513514,0.3855853548021352,0.0005747136456999534
0.0012031078338623046,0.0006624293539755532,0.0012068748474121094,0.0003992814102821746,1.0,rbf,scale,,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9208897041962852,0.9692863595302619,0.9683720930232558,0.9840487919305654,1.0,0.9685193897360737,0.02646275888381044,5,0.9881641355902702,0.9762277951933125,0.976427584618927,0.9803158122431321,0.976329479768786,0.9794929614828856,0.004602864467835536
0.0011054515838623048,0.0006650949844037075,0.0013078689575195313,0.0006013037115426894,1.0,rbf,auto,,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9208897041962852,0.9692863595302619,0.9529411764705882,0.9840487919305654,1.0,0.9654332064255401,0.027189793797694404,8,0.9881641355902702,0.9762277951933125,0.976427584618927,0.976427584618927,0.976329479768786,0.9787153159580445,0.004724988797431003
0.0010024070739746093,0.0005492958464020063,0.001409006118774414,0.0005855234001896865,1.0,rbf,0.001,,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.8479804161566707,0.9356060606060606,0.9678030303030303,0.9169719169719169,0.9840487919305654,0.9304820431936488,0.04749221026185458,42,0.9597537878787878,0.9347670250896057,0.9351004397955545,0.9351004397955545,0.9266129032258064,0.9382669191570617,0.011223226419953958
