config_rank,feature_map_type,reps,entanglement,paulis,repeat_id,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,cpu_summary,ram_summary,gpu_summary
1,PauliFeatureMap,1,linear,"[""Y"", ""Z""]",0,0.639344262295082,0.3280338266384778,0.34025974025974026,0.31535087719298244,0.5756758700028761,37.05689490000077,25.509592800000974,"{""fit_peak_cpu_percent"": 146.5, ""predict_peak_cpu_percent"": 107.8}","{""fit_peak_ram_mb"": 322.71875, ""predict_peak_ram_mb"": 322.734375}","{""fit_peak_gpu_memory_mb"": 3374.76953125, ""predict_peak_gpu_memory_mb"": 3384.87890625}"
1,PauliFeatureMap,1,linear,"[""Y"", ""Z""]",1,0.5573770491803278,0.24166666666666664,0.2649350649350649,0.2510502283105023,0.5140429672879707,31.819920199995977,21.321613699998125,"{""fit_peak_cpu_percent"": 133.0, ""predict_peak_cpu_percent"": 108.6}","{""fit_peak_ram_mb"": 322.75, ""predict_peak_ram_mb"": 322.765625}","{""fit_peak_gpu_memory_mb"": 3375.51171875, ""predict_peak_gpu_memory_mb"": 3366.38671875}"
1,PauliFeatureMap,1,linear,"[""Y"", ""Z""]",2,0.5737704918032787,0.2248447204968944,0.24848484848484848,0.22869198312236289,0.4983744898665007,31.820114200003445,21.60515669999586,"{""fit_peak_cpu_percent"": 101.9, ""predict_peak_cpu_percent"": 208.3}","{""fit_peak_ram_mb"": 323.2421875, ""predict_peak_ram_mb"": 322.84765625}","{""fit_peak_gpu_memory_mb"": 3346.62890625, ""predict_peak_gpu_memory_mb"": 3354.56640625}"
2,PauliFeatureMap,1,full,"[""X"", ""Z""]",0,0.5409836065573771,0.19953488372093023,0.2675324675324675,0.22848297213622293,0.4675937674465817,31.749983699999575,21.536078299999645,"{""fit_peak_cpu_percent"": 112.5, ""predict_peak_cpu_percent"": 107.8}","{""fit_peak_ram_mb"": 322.97265625, ""predict_peak_ram_mb"": 323.0078125}","{""fit_peak_gpu_memory_mb"": 3443.19140625, ""predict_peak_gpu_memory_mb"": 3443.19140625}"
2,PauliFeatureMap,1,full,"[""X"", ""Z""]",1,0.6557377049180327,0.4188888888888888,0.35844155844155845,0.36559440559440565,0.5966525278000688,31.707582100003492,21.980823599995347,"{""fit_peak_cpu_percent"": 107.8, ""predict_peak_cpu_percent"": 111.6}","{""fit_peak_ram_mb"": 323.01953125, ""predict_peak_ram_mb"": 323.03515625}","{""fit_peak_gpu_memory_mb"": 3451.44140625, ""predict_peak_gpu_memory_mb"": 3451.44140625}"
2,PauliFeatureMap,1,full,"[""X"", ""Z""]",2,0.5901639344262295,0.3580555555555555,0.3463203463203463,0.3424535207143903,0.5667017046204501,32.45876030000363,21.927592200001527,"{""fit_peak_cpu_percent"": 102.5, ""predict_peak_cpu_percent"": 103.9}","{""fit_peak_ram_mb"": 323.1015625, ""predict_peak_ram_mb"": 316.94140625}","{""fit_peak_gpu_memory_mb"": 3451.44140625, ""predict_peak_gpu_memory_mb"": 3457.25390625}"
3,PauliFeatureMap,1,linear,"[""X"", ""Z""]",0,0.639344262295082,0.4121212121212121,0.36277056277056274,0.37168831168831173,0.5872045986800085,32.4665795999972,21.781648900003347,"{""fit_peak_cpu_percent"": 103.5, ""predict_peak_cpu_percent"": 105.2}","{""fit_peak_ram_mb"": 316.9453125, ""predict_peak_ram_mb"": 316.99609375}","{""fit_peak_gpu_memory_mb"": 3460.37890625, ""predict_peak_gpu_memory_mb"": 3466.19140625}"
3,PauliFeatureMap,1,linear,"[""X"", ""Z""]",1,0.47540983606557374,0.25665266106442575,0.2675324675324675,0.26187571459472825,0.4670191451863987,32.3321447000053,21.334706100002222,"{""fit_peak_cpu_percent"": 102.1, ""predict_peak_cpu_percent"": 124.0}","{""fit_peak_ram_mb"": 317.06640625, ""predict_peak_ram_mb"": 317.08203125}","{""fit_peak_gpu_memory_mb"": 3464.75390625, ""predict_peak_gpu_memory_mb"": 3447.69140625}"
3,PauliFeatureMap,1,linear,"[""X"", ""Z""]",2,0.5573770491803278,0.3321594321594322,0.32034632034632027,0.31909090909090915,0.5359910581222057,31.530858000005537,21.19743450000533,"{""fit_peak_cpu_percent"": 120.2, ""predict_peak_cpu_percent"": 100.1}","{""fit_peak_ram_mb"": 317.0859375, ""predict_peak_ram_mb"": 317.13671875}","{""fit_peak_gpu_memory_mb"": 3458.19921875, ""predict_peak_gpu_memory_mb"": 3464.88671875}"
4,PauliFeatureMap,1,linear,"[""Z""]",0,0.6885245901639344,0.41785714285714287,0.4051948051948052,0.3988849005770843,0.650656443565388,21.985420000004524,14.81759079999756,"{""fit_peak_cpu_percent"": 102.6, ""predict_peak_cpu_percent"": 100.1}","{""fit_peak_ram_mb"": 317.140625, ""predict_peak_ram_mb"": 317.140625}","{""fit_peak_gpu_memory_mb"": 3463.51171875, ""predict_peak_gpu_memory_mb"": 3463.51171875}"
