number,value,datetime_start,datetime_complete,duration,params_entanglement,params_feature_map_type,params_paulis,params_reps,user_attrs_macro_f1,state,trial_number,feature_map_type,reps,entanglement,paulis,status,error_message,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,peak_cpu_percent,peak_ram_mb,peak_gpu_memory_mb
0,0.19252873563218392,2026-06-17 16:15:10.520918,2026-06-17 16:16:39.436552,0 days 00:01:28.915634,linear,ZZFeatureMap,,2,0.19252873563218392,COMPLETE,0,ZZFeatureMap,2,linear,,completed,,0.5409836065573771,0.19481481481481483,0.22424242424242427,0.19252873563218392,0.4306105144149237,53.099761299999955,35.80849220000164,101.7,894.25,3133.109375
1,0.0,2026-06-17 16:16:39.438054,2026-06-17 16:16:39.438054,0 days 00:00:00,linear,ZFeatureMap,,1,,COMPLETE,1,ZFeatureMap,1,linear,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
2,0.18792270531400965,2026-06-17 16:16:39.438054,2026-06-17 16:18:14.102493,0 days 00:01:34.664439,full,PauliFeatureMap,"[""Y"", ""Z""]",2,0.18792270531400965,COMPLETE,2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",completed,,0.5573770491803278,0.21186440677966098,0.22857142857142856,0.18792270531400965,0.41359784588580023,57.0071650999962,37.64897010000277,104.8,730.83984375,3191.234375
3,0.19090909090909092,2026-06-17 16:18:14.102996,2026-06-17 16:20:13.493981,0 days 00:01:59.390985,full,ZZFeatureMap,,2,0.19090909090909092,COMPLETE,3,ZZFeatureMap,2,full,,completed,,0.5409836065573771,0.19272727272727272,0.22424242424242427,0.19090909090909092,0.4262295081967213,70.53232370000478,48.85051940000267,195.3,727.53125,3096.171875
4,0.0,2026-06-17 16:20:13.493981,2026-06-17 16:20:13.494983,0 days 00:00:00.001002,linear,ZFeatureMap,,1,,COMPLETE,4,ZFeatureMap,1,linear,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
5,0.3042168674698795,2026-06-17 16:20:13.494983,2026-06-17 16:21:13.383337,0 days 00:00:59.888354,linear,PauliFeatureMap,"[""Z"", ""ZZ""]",1,0.3042168674698795,COMPLETE,5,PauliFeatureMap,1,linear,"[""Z"", ""ZZ""]",completed,,0.6229508196721312,0.4391111111111111,0.31341991341991343,0.3042168674698795,0.5359964447955758,34.10059019999608,25.78320430000167,195.3,726.8046875,3093.921875
6,0.2877272727272727,2026-06-17 16:21:13.384337,2026-06-17 16:22:34.117637,0 days 00:01:20.733300,full,ZZFeatureMap,,1,0.2877272727272727,COMPLETE,6,ZZFeatureMap,1,full,,completed,,0.5901639344262295,0.29858156028368793,0.2995670995670996,0.2877272727272727,0.5150894187779433,47.926399500000116,32.801594799995655,109.6,726.8359375,3080.109375
7,0.2877272727272727,2026-06-17 16:22:34.117637,2026-06-17 16:23:54.154718,0 days 00:01:20.037081,full,ZZFeatureMap,,1,0.2877272727272727,COMPLETE,7,ZZFeatureMap,1,full,,completed,,0.5901639344262295,0.29858156028368793,0.2995670995670996,0.2877272727272727,0.5150894187779433,46.919922699999006,33.1090417000014,195.3,726.859375,3080.109375
8,0.25522138680033424,2026-06-17 16:23:54.155223,2026-06-17 16:25:04.624701,0 days 00:01:10.469478,circular,ZZFeatureMap,,1,0.25522138680033424,COMPLETE,8,ZZFeatureMap,1,circular,,completed,,0.5737704918032787,0.2965686274509804,0.270995670995671,0.25522138680033424,0.48174397742991354,42.66379930000403,27.800387299997965,104.5,726.8671875,3080.109375
9,0.13932584269662923,2026-06-17 16:25:04.624701,2026-06-17 16:26:48.347719,0 days 00:01:43.723018,circular,ZZFeatureMap,,2,0.13932584269662923,COMPLETE,9,ZZFeatureMap,2,circular,,completed,,0.5081967213114754,0.11071428571428572,0.1878787878787879,0.13932584269662923,0.3768649843433413,61.90082890000485,41.81579040000361,135.9,726.48046875,3080.109375
10,0.16599250936329588,2026-06-17 16:26:48.347719,2026-06-17 16:28:55.704293,0 days 00:02:07.356574,linear,PauliFeatureMap,"[""Z"", ""ZZ""]",3,0.16599250936329588,COMPLETE,10,PauliFeatureMap,3,linear,"[""Z"", ""ZZ""]",completed,,0.5245901639344263,0.16071428571428573,0.20606060606060606,0.16599250936329588,0.4009087001903358,75.25032959999953,52.09719749999931,166.2,727.23046875,3080.109375
11,0.2877272727272727,2026-06-17 16:28:55.704293,2026-06-17 16:30:12.419906,0 days 00:01:16.715613,full,PauliFeatureMap,"[""Z"", ""ZZ""]",1,0.2877272727272727,COMPLETE,11,PauliFeatureMap,1,full,"[""Z"", ""ZZ""]",completed,,0.5901639344262295,0.29858156028368793,0.2995670995670996,0.2877272727272727,0.5150894187779433,47.01774920000025,29.688810999999987,151.2,727.234375,3267.33984375
12,0.36207792207792205,2026-06-17 16:30:12.419906,2026-06-17 16:31:16.029430,0 days 00:01:03.609524,full,PauliFeatureMap,"[""X"", ""Z""]",1,0.36207792207792205,COMPLETE,12,PauliFeatureMap,1,full,"[""X"", ""Z""]",completed,,0.6721311475409836,0.38666666666666666,0.3662337662337662,0.36207792207792205,0.6105599318714072,38.009020299999975,25.589716900001804,151.2,726.83203125,3318.9921875
13,0.36207792207792205,2026-06-17 16:31:16.029430,2026-06-17 16:32:18.200106,0 days 00:01:02.170676,linear,PauliFeatureMap,"[""X"", ""Z""]",1,0.36207792207792205,COMPLETE,13,PauliFeatureMap,1,linear,"[""X"", ""Z""]",completed,,0.6721311475409836,0.38666666666666666,0.3662337662337662,0.36207792207792205,0.6105599318714072,36.952724700000545,25.208554099997855,151.2,726.84765625,3227.6484375
14,0.23957219251336898,2026-06-17 16:32:18.200106,2026-06-17 16:34:10.470877,0 days 00:01:52.270771,circular,PauliFeatureMap,"[""X"", ""Z""]",3,0.23957219251336898,COMPLETE,14,PauliFeatureMap,3,circular,"[""X"", ""Z""]",completed,,0.5901639344262295,0.2496969696969697,0.2666666666666667,0.23957219251336898,0.4783027965284474,68.97823570000037,43.28110860000015,109.0,726.85546875,3248.28125
15,0.2970418470418471,2026-06-17 16:34:10.471877,2026-06-17 16:35:32.579525,0 days 00:01:22.107648,full,PauliFeatureMap,"[""X"", ""Z""]",2,0.2970418470418471,COMPLETE,15,PauliFeatureMap,2,full,"[""X"", ""Z""]",completed,,0.5901639344262295,0.5496969696969697,0.28744588744588745,0.2970418470418471,0.4991543065313557,47.459944900001574,34.63938100000087,138.1,726.9921875,3258.84375
16,0.36207792207792205,2026-06-17 16:35:32.579525,2026-06-17 16:36:36.263897,0 days 00:01:03.684372,linear,PauliFeatureMap,"[""X"", ""Z""]",1,0.36207792207792205,COMPLETE,16,PauliFeatureMap,1,linear,"[""X"", ""Z""]",completed,,0.6721311475409836,0.38666666666666666,0.3662337662337662,0.36207792207792205,0.6105599318714072,38.27744800000073,25.399439099994197,102.6,727.0078125,3281.30859375
17,0.18792270531400965,2026-06-17 16:36:36.263897,2026-06-17 16:38:44.700233,0 days 00:02:08.436336,full,PauliFeatureMap,"[""X"", ""Y"", ""Z""]",2,0.18792270531400965,COMPLETE,17,PauliFeatureMap,2,full,"[""X"", ""Y"", ""Z""]",completed,,0.5573770491803278,0.21186440677966098,0.22857142857142856,0.18792270531400965,0.41359784588580023,76.23683010000241,52.188558800000465,133.0,727.0234375,3232.87109375
18,0.0,2026-06-17 16:38:44.700233,2026-06-17 16:38:44.702240,0 days 00:00:00.002007,linear,ZFeatureMap,,1,,COMPLETE,18,ZFeatureMap,1,linear,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
19,0.21771467207572687,2026-06-17 16:38:44.702240,2026-06-17 16:39:31.474373,0 days 00:00:46.772133,circular,PauliFeatureMap,"[""ZZ""]",1,0.21771467207572687,COMPLETE,19,PauliFeatureMap,1,circular,"[""ZZ""]",completed,,0.5737704918032787,0.2185185185185185,0.24848484848484848,0.21771467207572687,0.4616100821334752,27.41784059999918,19.34801989999687,116.4,727.0546875,3165.62109375
20,0.14193548387096774,2026-06-17 16:39:31.474373,2026-06-17 16:40:31.037053,0 days 00:00:59.562680,full,PauliFeatureMap,"[""Z""]",2,0.14193548387096774,COMPLETE,20,PauliFeatureMap,2,full,"[""Z""]",completed,,0.5409836065573771,0.11000000000000001,0.2,0.14193548387096774,0.3839238498149128,34.88667290000012,24.669595899998967,104.2,726.51953125,3239.30859375
21,0.36207792207792205,2026-06-17 16:40:31.038053,2026-06-17 16:41:38.164613,0 days 00:01:07.126560,linear,PauliFeatureMap,"[""X"", ""Z""]",1,0.36207792207792205,COMPLETE,21,PauliFeatureMap,1,linear,"[""X"", ""Z""]",completed,,0.6721311475409836,0.38666666666666666,0.3662337662337662,0.36207792207792205,0.6105599318714072,40.082298499997705,27.03642289999698,104.2,727.03125,3158.87109375
22,0.36207792207792205,2026-06-17 16:41:38.164613,2026-06-17 16:42:43.886725,0 days 00:01:05.722112,linear,PauliFeatureMap,"[""X"", ""Z""]",1,0.36207792207792205,COMPLETE,22,PauliFeatureMap,1,linear,"[""X"", ""Z""]",completed,,0.6721311475409836,0.38666666666666666,0.3662337662337662,0.36207792207792205,0.6105599318714072,38.730621800001245,26.98518370000238,111.6,727.0390625,3158.87109375
23,0.36207792207792205,2026-06-17 16:42:43.886725,2026-06-17 16:43:50.562224,0 days 00:01:06.675499,linear,PauliFeatureMap,"[""X"", ""Z""]",1,0.36207792207792205,COMPLETE,23,PauliFeatureMap,1,linear,"[""X"", ""Z""]",completed,,0.6721311475409836,0.38666666666666666,0.3662337662337662,0.36207792207792205,0.6105599318714072,39.287724199995864,27.38095649999741,103.7,727.05859375,3158.87109375
24,0.36207792207792205,2026-06-17 16:43:50.562224,2026-06-17 16:44:55.079439,0 days 00:01:04.517215,linear,PauliFeatureMap,"[""X"", ""Z""]",1,0.36207792207792205,COMPLETE,24,PauliFeatureMap,1,linear,"[""X"", ""Z""]",completed,,0.6721311475409836,0.38666666666666666,0.3662337662337662,0.36207792207792205,0.6105599318714072,38.09584780000296,26.415286900002684,103.3,727.07421875,3158.87109375
25,0.0,2026-06-17 16:44:55.080443,2026-06-17 16:44:55.081442,0 days 00:00:00.000999,linear,ZFeatureMap,,1,,COMPLETE,25,ZFeatureMap,1,linear,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
26,0.36207792207792205,2026-06-17 16:44:55.081442,2026-06-17 16:46:01.374785,0 days 00:01:06.293343,linear,PauliFeatureMap,"[""X"", ""Z""]",1,0.36207792207792205,COMPLETE,26,PauliFeatureMap,1,linear,"[""X"", ""Z""]",completed,,0.6721311475409836,0.38666666666666666,0.3662337662337662,0.36207792207792205,0.6105599318714072,39.319411800002854,26.967291100001603,133.0,723.44140625,3158.87109375
27,0.36207792207792205,2026-06-17 16:46:01.375342,2026-06-17 16:46:49.613579,0 days 00:00:48.238237,linear,PauliFeatureMap,"[""Z""]",1,0.36207792207792205,COMPLETE,27,PauliFeatureMap,1,linear,"[""Z""]",completed,,0.6721311475409836,0.38666666666666666,0.3662337662337662,0.36207792207792205,0.6105599318714072,27.094348899998295,21.137299799993343,104.2,723.50390625,3185.87109375
28,0.18792270531400965,2026-06-17 16:46:49.613929,2026-06-17 16:49:11.193859,0 days 00:02:21.579930,circular,PauliFeatureMap,"[""X"", ""Y"", ""Z""]",2,0.18792270531400965,COMPLETE,28,PauliFeatureMap,2,circular,"[""X"", ""Y"", ""Z""]",completed,,0.5573770491803278,0.21186440677966098,0.22857142857142856,0.18792270531400965,0.41359784588580023,84.01610110000183,57.54845810000552,195.3,723.5546875,3167.8359375
29,0.0,2026-06-17 16:49:11.193859,2026-06-17 16:49:11.195361,0 days 00:00:00.001502,full,ZFeatureMap,,2,,COMPLETE,29,ZFeatureMap,2,full,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
30,0.14042553191489363,2026-06-17 16:49:11.195361,2026-06-17 16:49:55.650846,0 days 00:00:44.455485,linear,PauliFeatureMap,"[""ZZ""]",1,0.14042553191489363,COMPLETE,30,PauliFeatureMap,1,linear,"[""ZZ""]",completed,,0.5409836065573771,0.10819672131147542,0.2,0.14042553191489363,0.37983955354028603,26.91014439999708,17.537044600001536,103.7,593.09765625,3142.0859375
31,0.36207792207792205,2026-06-17 16:49:55.650846,2026-06-17 16:51:01.439467,0 days 00:01:05.788621,linear,PauliFeatureMap,"[""X"", ""Z""]",1,0.36207792207792205,COMPLETE,31,PauliFeatureMap,1,linear,"[""X"", ""Z""]",completed,,0.6721311475409836,0.38666666666666666,0.3662337662337662,0.36207792207792205,0.6105599318714072,39.11673589999555,26.66393219999736,109.5,593.11328125,3142.0859375
32,0.36207792207792205,2026-06-17 16:51:01.439467,2026-06-17 16:52:07.827584,0 days 00:01:06.388117,linear,PauliFeatureMap,"[""X"", ""Z""]",1,0.36207792207792205,COMPLETE,32,PauliFeatureMap,1,linear,"[""X"", ""Z""]",completed,,0.6721311475409836,0.38666666666666666,0.3662337662337662,0.36207792207792205,0.6105599318714072,40.217165699999896,26.16260190000321,133.0,593.13671875,3168.7109375
33,0.36207792207792205,2026-06-17 16:52:07.827584,2026-06-17 16:53:13.140648,0 days 00:01:05.313064,linear,PauliFeatureMap,"[""X"", ""Z""]",1,0.36207792207792205,COMPLETE,33,PauliFeatureMap,1,linear,"[""X"", ""Z""]",completed,,0.6721311475409836,0.38666666666666666,0.3662337662337662,0.36207792207792205,0.6105599318714072,38.81210110000393,26.494144199998118,103.2,593.140625,3185.5234375
34,0.40276540276540285,2026-06-17 16:53:13.140648,2026-06-17 16:54:20.056619,0 days 00:01:06.915971,linear,PauliFeatureMap,"[""Y"", ""Z""]",1,0.40276540276540285,COMPLETE,34,PauliFeatureMap,1,linear,"[""Y"", ""Z""]",completed,,0.6721311475409836,0.4227642276422764,0.3991341991341991,0.40276540276540285,0.6361557017294722,39.916956299995945,26.991774000001897,104.2,593.1875,3159.7109375
35,0.40276540276540285,2026-06-17 16:54:20.056619,2026-06-17 16:55:26.485747,0 days 00:01:06.429128,linear,PauliFeatureMap,"[""Y"", ""Z""]",1,0.40276540276540285,COMPLETE,35,PauliFeatureMap,1,linear,"[""Y"", ""Z""]",completed,,0.6721311475409836,0.4227642276422764,0.3991341991341991,0.40276540276540285,0.6361557017294722,39.63952370000334,26.781898099994578,151.2,593.19921875,3159.7109375
36,0.0,2026-06-17 16:55:26.485747,2026-06-17 16:55:26.488251,0 days 00:00:00.002504,full,ZFeatureMap,,1,,COMPLETE,36,ZFeatureMap,1,full,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
37,0.40276540276540285,2026-06-17 16:55:26.488251,2026-06-17 16:56:31.612502,0 days 00:01:05.124251,linear,PauliFeatureMap,"[""Y"", ""Z""]",1,0.40276540276540285,COMPLETE,37,PauliFeatureMap,1,linear,"[""Y"", ""Z""]",completed,,0.6721311475409836,0.4227642276422764,0.3991341991341991,0.40276540276540285,0.6361557017294722,39.12993569999526,25.988375900000392,103.5,593.296875,3257.30859375
38,0.3042168674698795,2026-06-17 16:56:31.614007,2026-06-17 16:57:32.762643,0 days 00:01:01.148636,linear,ZZFeatureMap,,1,0.3042168674698795,COMPLETE,38,ZZFeatureMap,1,linear,,completed,,0.6229508196721312,0.4391111111111111,0.31341991341991343,0.3042168674698795,0.5359964447955758,35.77431500000239,25.367747500000405,151.2,593.32421875,3278.6953125
