config_rank,feature_map_type,reps,entanglement,paulis,repeat_id,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,cpu_summary,ram_summary,gpu_summary
1,PauliFeatureMap,2,full,"[""Y"", ""Z""]",0,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,0.9665831244778613,14.181699700002355,9.681159800002206,"{""fit_peak_cpu_percent"": 101.6, ""predict_peak_cpu_percent"": 101.8}","{""fit_peak_ram_mb"": 255.4921875, ""predict_peak_ram_mb"": 255.546875}","{""fit_peak_gpu_memory_mb"": 6318.2890625, ""predict_peak_gpu_memory_mb"": 6314.2890625}"
1,PauliFeatureMap,2,full,"[""Y"", ""Z""]",1,0.9333333333333333,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.9326599326599326,13.751077099997929,9.202769100000296,"{""fit_peak_cpu_percent"": 104.8, ""predict_peak_cpu_percent"": 100.8}","{""fit_peak_ram_mb"": 255.49609375, ""predict_peak_ram_mb"": 254.67578125}","{""fit_peak_gpu_memory_mb"": 6314.2890625, ""predict_peak_gpu_memory_mb"": 6314.2890625}"
1,PauliFeatureMap,2,full,"[""Y"", ""Z""]",2,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778613,0.9665831244778613,14.267123899997387,9.334577400000853,"{""fit_peak_cpu_percent"": 100.0, ""predict_peak_cpu_percent"": 100.0}","{""fit_peak_ram_mb"": 255.91796875, ""predict_peak_ram_mb"": 255.90234375}","{""fit_peak_gpu_memory_mb"": 6314.2890625, ""predict_peak_gpu_memory_mb"": 6314.2890625}"
2,PauliFeatureMap,2,full,"[""Z""]",0,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,8.554347100001905,5.69140089999928,"{""fit_peak_cpu_percent"": 100.0, ""predict_peak_cpu_percent"": 116.4}","{""fit_peak_ram_mb"": 255.6640625, ""predict_peak_ram_mb"": 255.71875}","{""fit_peak_gpu_memory_mb"": 6314.2890625, ""predict_peak_gpu_memory_mb"": 6314.2890625}"
2,PauliFeatureMap,2,full,"[""Z""]",1,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,0.9665831244778613,8.493343599999207,5.810819700000138,"{""fit_peak_cpu_percent"": 102.4, ""predict_peak_cpu_percent"": 102.5}","{""fit_peak_ram_mb"": 255.71484375, ""predict_peak_ram_mb"": 255.71484375}","{""fit_peak_gpu_memory_mb"": 6314.2890625, ""predict_peak_gpu_memory_mb"": 6314.2890625}"
2,PauliFeatureMap,2,full,"[""Z""]",2,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,8.90735180000047,6.957253000000492,"{""fit_peak_cpu_percent"": 100.0, ""predict_peak_cpu_percent"": 100.2}","{""fit_peak_ram_mb"": 255.71875, ""predict_peak_ram_mb"": 255.71875}","{""fit_peak_gpu_memory_mb"": 6316.7265625, ""predict_peak_gpu_memory_mb"": 6718.0078125}"
3,PauliFeatureMap,2,linear,"[""Y"", ""Z""]",0,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,15.974944099998538,10.996670799999265,"{""fit_peak_cpu_percent"": 208.3, ""predict_peak_cpu_percent"": 102.6}","{""fit_peak_ram_mb"": 255.98828125, ""predict_peak_ram_mb"": 256.046875}","{""fit_peak_gpu_memory_mb"": 7085.97265625, ""predict_peak_gpu_memory_mb"": 7032.03515625}"
3,PauliFeatureMap,2,linear,"[""Y"", ""Z""]",1,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778613,0.9665831244778613,15.408100800003012,10.255584300000919,"{""fit_peak_cpu_percent"": 116.4, ""predict_peak_cpu_percent"": 103.5}","{""fit_peak_ram_mb"": 255.7265625, ""predict_peak_ram_mb"": 255.76171875}","{""fit_peak_gpu_memory_mb"": 7085.53515625, ""predict_peak_gpu_memory_mb"": 7034.53515625}"
3,PauliFeatureMap,2,linear,"[""Y"", ""Z""]",2,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,0.9665831244778613,15.675442400002794,10.088534999998956,"{""fit_peak_cpu_percent"": 103.0, ""predict_peak_cpu_percent"": 98.1}","{""fit_peak_ram_mb"": 255.765625, ""predict_peak_ram_mb"": 255.8203125}","{""fit_peak_gpu_memory_mb"": 7036.28515625, ""predict_peak_gpu_memory_mb"": 7036.53515625}"
4,ZZFeatureMap,1,circular,,0,0.8666666666666667,0.8796296296296297,0.8666666666666667,0.8692185007974481,0.869218500797448,10.907198500000959,7.656632499998523,"{""fit_peak_cpu_percent"": 102.3, ""predict_peak_cpu_percent"": 104.2}","{""fit_peak_ram_mb"": 255.8203125, ""predict_peak_ram_mb"": 255.82421875}","{""fit_peak_gpu_memory_mb"": 7036.53515625, ""predict_peak_gpu_memory_mb"": 7038.34765625}"
