number,value,datetime_start,datetime_complete,duration,params_entanglement,params_feature_map_type,params_paulis,params_reps,user_attrs_macro_f1,state,trial_number,feature_map_type,reps,entanglement,paulis,status,error_message,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,peak_cpu_percent,peak_ram_mb,peak_gpu_memory_mb
0,0.8646973941091588,2026-06-17 11:40:50.270622,2026-06-17 11:41:10.253237,0 days 00:00:19.982615,linear,ZZFeatureMap,,2,0.8646973941091588,COMPLETE,0,ZZFeatureMap,2,linear,,completed,,0.8666666666666667,0.8863636363636364,0.8666666666666667,0.8646973941091588,0.8646973941091588,11.88209199999983,8.093350400000418,101.7,249.19921875,4133.06640625
1,0.0,2026-06-17 11:41:10.253237,2026-06-17 11:41:10.254236,0 days 00:00:00.000999,linear,ZFeatureMap,,1,,COMPLETE,1,ZFeatureMap,1,linear,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
2,0.9333333333333332,2026-06-17 11:41:10.254236,2026-06-17 11:41:31.867126,0 days 00:00:21.612890,full,PauliFeatureMap,"[""Y"", ""Z""]",2,0.9333333333333332,COMPLETE,2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",completed,,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,12.965845400000035,8.642653199998676,104.2,248.51171875,4138.19140625
3,0.7999999999999999,2026-06-17 11:41:31.867126,2026-06-17 11:41:58.616994,0 days 00:00:26.749868,full,ZZFeatureMap,,2,0.7999999999999999,COMPLETE,3,ZZFeatureMap,2,full,,completed,,0.8,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.8,15.912725400001364,10.831561500001044,118.7,249.43359375,4136.41015625
4,0.0,2026-06-17 11:41:58.616994,2026-06-17 11:41:58.616994,0 days 00:00:00,linear,ZFeatureMap,,1,,COMPLETE,4,ZFeatureMap,1,linear,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
5,0.8306878306878307,2026-06-17 11:41:58.617994,2026-06-17 11:42:11.918591,0 days 00:00:13.300597,linear,PauliFeatureMap,"[""Z"", ""ZZ""]",1,0.8306878306878307,COMPLETE,5,PauliFeatureMap,1,linear,"[""Z"", ""ZZ""]",completed,,0.8333333333333334,0.837121212121212,0.8333333333333334,0.8306878306878307,0.8306878306878306,7.969654000000446,5.327606099999684,151.2,249.78515625,4125.37890625
6,0.8664160401002506,2026-06-17 11:42:11.918591,2026-06-17 11:42:29.107605,0 days 00:00:17.189014,full,ZZFeatureMap,,1,0.8664160401002506,COMPLETE,6,ZZFeatureMap,1,full,,completed,,0.8666666666666667,0.869023569023569,0.8666666666666667,0.8664160401002506,0.8664160401002506,10.405843399999867,6.779324299999644,100.5,249.640625,4130.50390625
7,0.8664160401002506,2026-06-17 11:42:29.107605,2026-06-17 11:42:46.851147,0 days 00:00:17.743542,full,ZZFeatureMap,,1,0.8664160401002506,COMPLETE,7,ZZFeatureMap,1,full,,completed,,0.8666666666666667,0.869023569023569,0.8666666666666667,0.8664160401002506,0.8664160401002506,10.19846839999991,7.540214599999672,100.0,250.0234375,4124.72265625
8,0.9015037593984961,2026-06-17 11:42:46.851147,2026-06-17 11:43:03.216882,0 days 00:00:16.365735,circular,ZZFeatureMap,,1,0.9015037593984961,COMPLETE,8,ZZFeatureMap,1,circular,,completed,,0.9,0.9060606060606061,0.9,0.9015037593984961,0.9015037593984961,9.81945369999994,6.541839900000923,100.2,249.734375,4123.03515625
9,0.8330827067669172,2026-06-17 11:43:03.216882,2026-06-17 11:43:27.359295,0 days 00:00:24.142413,circular,ZZFeatureMap,,2,0.8330827067669172,COMPLETE,9,ZZFeatureMap,2,circular,,completed,,0.8333333333333334,0.8356902356902357,0.8333333333333334,0.8330827067669172,0.8330827067669172,14.338690600001428,9.798860599999898,151.2,251.28515625,4110.49609375
10,0.8341307814992026,2026-06-17 11:43:27.359295,2026-06-17 11:43:58.376327,0 days 00:00:31.017032,full,PauliFeatureMap,"[""Y"", ""Z""]",3,0.8341307814992026,COMPLETE,10,PauliFeatureMap,3,full,"[""Y"", ""Z""]",completed,,0.8333333333333334,0.8425925925925926,0.8333333333333334,0.8341307814992026,0.8341307814992026,18.26044980000006,12.750903899999685,101.8,251.01953125,4110.49609375
11,0.8341307814992026,2026-06-17 11:43:58.376327,2026-06-17 11:44:38.792800,0 days 00:00:40.416473,circular,PauliFeatureMap,"[""Y"", ""Z""]",3,0.8341307814992026,COMPLETE,11,PauliFeatureMap,3,circular,"[""Y"", ""Z""]",completed,,0.8333333333333334,0.8425925925925926,0.8333333333333334,0.8341307814992026,0.8341307814992026,21.84683160000168,18.56290910000098,104.5,252.25390625,5935.67578125
12,0.8666666666666667,2026-06-17 11:44:38.792800,2026-06-17 11:45:08.431191,0 days 00:00:29.638391,circular,PauliFeatureMap,"[""X"", ""Z""]",2,0.8666666666666667,COMPLETE,12,PauliFeatureMap,2,circular,"[""X"", ""Z""]",completed,,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,18.16568030000053,11.466864900001383,293.0,252.0546875,6097.73046875
