config_rank,feature_map_type,reps,entanglement,paulis,repeat_id,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,cpu_summary,ram_summary,gpu_summary
1,PauliFeatureMap,1,full,"[""X"", ""Y"", ""Z""]",0,0.9722222222222222,0.9696969696969697,0.9722222222222222,0.9696342305037957,0.9722797331492985,15.707885499999975,10.8558266,"{""fit_peak_cpu_percent"": 312.5, ""predict_peak_cpu_percent"": 105.2}","{""fit_peak_ram_mb"": 717.72265625, ""predict_peak_ram_mb"": 716.77734375}","{""fit_peak_gpu_memory_mb"": 3084.22265625, ""predict_peak_gpu_memory_mb"": 3092.53515625}"
1,PauliFeatureMap,1,full,"[""X"", ""Y"", ""Z""]",1,0.9166666666666666,0.915079365079365,0.915079365079365,0.915079365079365,0.9166666666666666,15.412402900001325,10.680483600001025,"{""fit_peak_cpu_percent"": 101.7, ""predict_peak_cpu_percent"": 104.2}","{""fit_peak_ram_mb"": 716.77734375, ""predict_peak_ram_mb"": 716.78125}","{""fit_peak_gpu_memory_mb"": 3084.22265625, ""predict_peak_gpu_memory_mb"": 3084.22265625}"
1,PauliFeatureMap,1,full,"[""X"", ""Y"", ""Z""]",2,0.9722222222222222,0.9696969696969697,0.9722222222222222,0.9696342305037957,0.9722797331492985,15.458574500000395,10.751436999998987,"{""fit_peak_cpu_percent"": 105.2, ""predict_peak_cpu_percent"": 103.9}","{""fit_peak_ram_mb"": 716.78125, ""predict_peak_ram_mb"": 716.77734375}","{""fit_peak_gpu_memory_mb"": 3100.78515625, ""predict_peak_gpu_memory_mb"": 3092.78515625}"
2,PauliFeatureMap,1,linear,"[""X"", ""Y"", ""Z""]",0,0.9722222222222222,0.9743589743589745,0.9666666666666667,0.9691228070175438,0.9720467836257308,15.533504999999423,10.549674400001095,"{""fit_peak_cpu_percent"": 195.3, ""predict_peak_cpu_percent"": 120.2}","{""fit_peak_ram_mb"": 716.78125, ""predict_peak_ram_mb"": 716.82421875}","{""fit_peak_gpu_memory_mb"": 3082.22265625, ""predict_peak_gpu_memory_mb"": 3082.22265625}"
2,PauliFeatureMap,1,linear,"[""X"", ""Y"", ""Z""]",1,1.0,1.0,1.0,1.0,1.0,16.173272600000928,10.930931800001417,"{""fit_peak_cpu_percent"": 103.9, ""predict_peak_cpu_percent"": 106.8}","{""fit_peak_ram_mb"": 716.82421875, ""predict_peak_ram_mb"": 716.8203125}","{""fit_peak_gpu_memory_mb"": 3127.84765625, ""predict_peak_gpu_memory_mb"": 3099.91015625}"
2,PauliFeatureMap,1,linear,"[""X"", ""Y"", ""Z""]",2,0.9166666666666666,0.9188034188034188,0.9285714285714285,0.9163636363636364,0.9147474747474748,15.53050870000152,10.507417800003168,"{""fit_peak_cpu_percent"": 101.7, ""predict_peak_cpu_percent"": 126.0}","{""fit_peak_ram_mb"": 716.8203125, ""predict_peak_ram_mb"": 716.84375}","{""fit_peak_gpu_memory_mb"": 3092.22265625, ""predict_peak_gpu_memory_mb"": 3116.91015625}"
3,PauliFeatureMap,1,circular,"[""X"", ""Y"", ""Z""]",0,0.9444444444444444,0.9523809523809524,0.942857142857143,0.9444694356975059,0.9453357991369687,15.646130000000994,11.246582100000523,"{""fit_peak_cpu_percent"": 106.2, ""predict_peak_cpu_percent"": 102.8}","{""fit_peak_ram_mb"": 716.72265625, ""predict_peak_ram_mb"": 716.7265625}","{""fit_peak_gpu_memory_mb"": 3119.16015625, ""predict_peak_gpu_memory_mb"": 3142.72265625}"
3,PauliFeatureMap,1,circular,"[""X"", ""Y"", ""Z""]",1,0.8888888888888888,0.8888888888888888,0.9007936507936508,0.8906371406371406,0.8871406371406372,16.2677603000011,11.02997619999951,"{""fit_peak_cpu_percent"": 103.0, ""predict_peak_cpu_percent"": 104.8}","{""fit_peak_ram_mb"": 716.73828125, ""predict_peak_ram_mb"": 716.7421875}","{""fit_peak_gpu_memory_mb"": 3142.59765625, ""predict_peak_gpu_memory_mb"": 3141.16015625}"
3,PauliFeatureMap,1,circular,"[""X"", ""Y"", ""Z""]",2,0.9722222222222222,0.9777777777777779,0.9722222222222222,0.9740129935032483,0.972097284690988,16.2161672000002,11.135654199999408,"{""fit_peak_cpu_percent"": 124.0, ""predict_peak_cpu_percent"": 102.1}","{""fit_peak_ram_mb"": 716.74609375, ""predict_peak_ram_mb"": 716.75}","{""fit_peak_gpu_memory_mb"": 3470.42578125, ""predict_peak_gpu_memory_mb"": 3271.67578125}"
4,PauliFeatureMap,1,circular,"[""X"", ""Z""]",0,1.0,1.0,1.0,1.0,1.0,12.60618660000182,8.416078300000663,"{""fit_peak_cpu_percent"": 104.8, ""predict_peak_cpu_percent"": 101.8}","{""fit_peak_ram_mb"": 716.75, ""predict_peak_ram_mb"": 716.75390625}","{""fit_peak_gpu_memory_mb"": 3267.73828125, ""predict_peak_gpu_memory_mb"": 3724.17578125}"
4,PauliFeatureMap,1,circular,"[""X"", ""Z""]",1,0.9444444444444444,0.9521367521367522,0.9333333333333332,0.9381353767560664,0.9423925074499786,12.162808400000358,8.820666499999788,"{""fit_peak_cpu_percent"": 117.6, ""predict_peak_cpu_percent"": 101.6}","{""fit_peak_ram_mb"": 716.75390625, ""predict_peak_ram_mb"": 716.75390625}","{""fit_peak_gpu_memory_mb"": 3724.17578125, ""predict_peak_gpu_memory_mb"": 3269.67578125}"
