number,value,datetime_start,datetime_complete,duration,params_entanglement,params_feature_map_type,params_paulis,params_reps,user_attrs_macro_f1,state,trial_number,feature_map_type,reps,entanglement,paulis,status,error_message,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,peak_cpu_percent,peak_ram_mb,peak_gpu_memory_mb
0,0.7067538126361655,2026-06-17 15:45:22.696622,2026-06-17 15:45:52.806957,0 days 00:00:30.110335,linear,ZZFeatureMap,,2,0.7067538126361655,COMPLETE,0,ZZFeatureMap,2,linear,,completed,,0.7222222222222222,0.7583333333333333,0.6984126984126985,0.7067538126361655,0.7183732752360203,18.23549070000081,11.87068790000194,195.3,965.36328125,3201.3046875
1,0.0,2026-06-17 15:45:52.807468,2026-06-17 15:45:52.807468,0 days 00:00:00,linear,ZFeatureMap,,1,,COMPLETE,1,ZFeatureMap,1,linear,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
2,0.7952991452991452,2026-06-17 15:45:52.808053,2026-06-17 15:46:27.903512,0 days 00:00:35.095459,full,PauliFeatureMap,"[""Y"", ""Z""]",2,0.7952991452991452,COMPLETE,2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",completed,,0.8055555555555556,0.8422619047619048,0.7873015873015873,0.7952991452991452,0.8017806267806269,22.33772599999793,12.753648399997473,105.6,968.6796875,3329.19140625
3,0.5625,2026-06-17 15:46:27.903512,2026-06-17 15:47:07.819171,0 days 00:00:39.915659,full,ZZFeatureMap,,2,0.5625,COMPLETE,3,ZZFeatureMap,2,full,,completed,,0.5555555555555556,0.6111111111111112,0.5476190476190476,0.5625,0.5590277777777778,23.432295700000395,16.478819400002976,102.7,975.31640625,3188.49609375
4,0.0,2026-06-17 15:47:07.819685,2026-06-17 15:47:07.820196,0 days 00:00:00.000511,linear,ZFeatureMap,,1,,COMPLETE,4,ZFeatureMap,1,linear,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
5,0.8002048131080389,2026-06-17 15:47:07.820196,2026-06-17 15:47:28.296874,0 days 00:00:20.476678,linear,PauliFeatureMap,"[""Z"", ""ZZ""]",1,0.8002048131080389,COMPLETE,5,PauliFeatureMap,1,linear,"[""Z"", ""ZZ""]",completed,,0.8055555555555556,0.8306595365418895,0.7984126984126986,0.8002048131080389,0.8044717528588498,12.134629200001655,8.339012600001297,109.5,977.828125,3159.99609375
6,0.7766613503455608,2026-06-17 15:47:28.297877,2026-06-17 15:47:53.673201,0 days 00:00:25.375324,full,ZZFeatureMap,,1,0.7766613503455608,COMPLETE,6,ZZFeatureMap,1,full,,completed,,0.7777777777777778,0.8160331384015594,0.7706349206349206,0.7766613503455608,0.7736487683856104,15.196866300000693,10.174829700001283,102.7,980.23046875,3196.49609375
7,0.7766613503455608,2026-06-17 15:47:53.673201,2026-06-17 15:48:19.129312,0 days 00:00:25.456111,full,ZZFeatureMap,,1,0.7766613503455608,COMPLETE,7,ZZFeatureMap,1,full,,completed,,0.7777777777777778,0.8160331384015594,0.7706349206349206,0.7766613503455608,0.7736487683856104,15.264243099998566,10.188308299999335,103.3,726.24609375,3218.9609375
8,0.7474945533769063,2026-06-17 15:48:19.129827,2026-06-17 15:48:41.165438,0 days 00:00:22.035611,circular,ZZFeatureMap,,1,0.7474945533769063,COMPLETE,8,ZZFeatureMap,1,circular,,completed,,0.75,0.7999999999999999,0.7373015873015873,0.7474945533769063,0.7467683369644154,13.103282399999443,8.929036800000176,103.9,717.32421875,3158.8359375
9,0.6358845832530043,2026-06-17 15:48:41.165943,2026-06-17 15:49:15.135003,0 days 00:00:33.969060,circular,ZZFeatureMap,,2,0.6358845832530043,COMPLETE,9,ZZFeatureMap,2,circular,,completed,,0.6666666666666666,0.8101851851851851,0.6317460317460318,0.6358845832530043,0.6482552535184114,20.133752400000958,13.830555199998344,104.2,717.375,3180.5234375
