number,value,datetime_start,datetime_complete,duration,params_entanglement,params_feature_map_type,params_paulis,params_reps,user_attrs_canonical_params,user_attrs_macro_f1,state,trial_number,suggested_feature_map_type,suggested_reps,suggested_entanglement,suggested_paulis,feature_map_type,reps,entanglement,paulis,cache_hit,status,error_message,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,peak_cpu_percent,peak_ram_mb,peak_gpu_memory_mb
0,0.3837837837837838,2026-06-26 19:43:47.509511,2026-06-26 19:48:36.593926,0 days 00:04:49.084415,linear,ZZFeatureMap,,2,"{""entanglement"": ""linear"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 2}",0.3837837837837838,COMPLETE,0,ZZFeatureMap,2,linear,,ZZFeatureMap,2,linear,,False,completed,,0.6228070175438597,0.31140350877192985,0.5,0.3837837837837838,0.4780464675201518,169.94966319800005,119.15004792600303,290.5,562.94921875,2517.3046875
1,0.3837837837837838,2026-06-26 19:48:36.594174,2026-06-26 19:51:38.738892,0 days 00:03:02.144718,linear,ZFeatureMap,,1,"{""entanglement"": null, ""feature_map_type"": ""ZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.3837837837837838,COMPLETE,1,ZFeatureMap,1,linear,,ZFeatureMap,1,,,False,completed,,0.6228070175438597,0.31140350877192985,0.5,0.3837837837837838,0.4780464675201518,111.14367650499844,70.97328698199999,253.9,562.94921875,2514.8671875
2,0.9526381387619444,2026-06-26 19:51:38.739099,2026-06-26 19:57:50.416500,0 days 00:06:11.677401,full,PauliFeatureMap,"[""Y"", ""Z""]",2,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 2}",0.9526381387619444,COMPLETE,2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",PauliFeatureMap,2,full,"[""Y"", ""Z""]",False,completed,,0.956140350877193,0.960472972972973,0.9464461185718964,0.9526381387619444,0.9558014271241044,219.95200576599746,151.6783536869989,319.9,563.16796875,2514.8671875
3,0.3837837837837838,2026-06-26 19:57:50.416754,2026-06-26 20:04:53.838293,0 days 00:07:03.421539,full,ZZFeatureMap,,2,"{""entanglement"": ""full"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 2}",0.3837837837837838,COMPLETE,3,ZZFeatureMap,2,full,,ZZFeatureMap,2,full,,False,completed,,0.6228070175438597,0.31140350877192985,0.5,0.3837837837837838,0.4780464675201518,252.2596642319986,171.12206960099866,105.9,563.60546875,2514.8671875
4,0.3837837837837838,2026-06-26 20:04:53.838508,2026-06-26 20:04:53.838955,0 days 00:00:00.000447,linear,ZFeatureMap,,1,"{""entanglement"": null, ""feature_map_type"": ""ZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.3837837837837838,COMPLETE,4,ZFeatureMap,1,linear,,ZFeatureMap,1,,,True,completed,,0.6228070175438597,0.31140350877192985,0.5,0.3837837837837838,0.4780464675201518,111.14367650499844,70.97328698199999,253.9,562.94921875,2514.8671875
5,0.3837837837837838,2026-06-26 20:04:53.839080,2026-06-26 20:08:30.915991,0 days 00:03:37.076911,linear,PauliFeatureMap,"[""Z"", ""ZZ""]",1,"{""entanglement"": ""linear"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Z"", ""ZZ""], ""reps"": 1}",0.3837837837837838,COMPLETE,5,PauliFeatureMap,1,linear,"[""Z"", ""ZZ""]",PauliFeatureMap,1,linear,"[""Z"", ""ZZ""]",False,completed,,0.6228070175438597,0.31140350877192985,0.5,0.3837837837837838,0.4780464675201518,133.10022596800263,84.00501943400013,108.1,563.60546875,2520.93359375
6,0.3837837837837838,2026-06-26 20:08:30.916190,2026-06-26 20:12:40.524057,0 days 00:04:09.607867,full,ZZFeatureMap,,1,"{""entanglement"": ""full"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.3837837837837838,COMPLETE,6,ZZFeatureMap,1,full,,ZZFeatureMap,1,full,,False,completed,,0.6228070175438597,0.31140350877192985,0.5,0.3837837837837838,0.4780464675201518,148.06303682099679,101.5464579010004,115.4,564.04296875,2514.9921875
7,0.3837837837837838,2026-06-26 20:12:40.524264,2026-06-26 20:12:40.524699,0 days 00:00:00.000435,full,ZZFeatureMap,,1,"{""entanglement"": ""full"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.3837837837837838,COMPLETE,7,ZZFeatureMap,1,full,,ZZFeatureMap,1,full,,True,completed,,0.6228070175438597,0.31140350877192985,0.5,0.3837837837837838,0.4780464675201518,148.06303682099679,101.5464579010004,115.4,564.04296875,2514.9921875
8,0.3837837837837838,2026-06-26 20:12:40.524786,2026-06-26 20:16:28.089870,0 days 00:03:47.565084,circular,ZZFeatureMap,,1,"{""entanglement"": ""circular"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.3837837837837838,COMPLETE,8,ZZFeatureMap,1,circular,,ZZFeatureMap,1,circular,,False,completed,,0.6228070175438597,0.31140350877192985,0.5,0.3837837837837838,0.4780464675201518,141.31009747500138,86.2362447150008,114.8,564.26171875,2514.9296875
9,0.3837837837837838,2026-06-26 20:16:28.090054,2026-06-26 20:22:25.663271,0 days 00:05:57.573217,circular,ZZFeatureMap,,2,"{""entanglement"": ""circular"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 2}",0.3837837837837838,COMPLETE,9,ZZFeatureMap,2,circular,,ZZFeatureMap,2,circular,,False,completed,,0.6228070175438597,0.31140350877192985,0.5,0.3837837837837838,0.4780464675201518,223.6147950070008,133.9077216359983,105.8,564.26171875,2514.9296875
