config_rank,feature_map_type,reps,entanglement,paulis,repeat_id,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,cpu_summary,ram_summary,gpu_summary
1,PauliFeatureMap,1,linear,"[""Y"", ""Z""]",0,0.7704918032786885,0.780885780885781,0.7608225108225108,0.7627777777777778,0.7662841530054646,50.777603599999566,34.637996800011024,"{""fit_peak_cpu_percent"": 208.3, ""predict_peak_cpu_percent"": 106.2}","{""fit_peak_ram_mb"": 287.03515625, ""predict_peak_ram_mb"": 280.57421875}","{""fit_peak_gpu_memory_mb"": 1913.44921875, ""predict_peak_gpu_memory_mb"": 1902.38671875}"
1,PauliFeatureMap,1,linear,"[""Y"", ""Z""]",1,0.7868852459016393,0.7859477124183006,0.7840909090909092,0.7848032564450476,0.7865382476588741,51.061324299982516,34.42226059999666,"{""fit_peak_cpu_percent"": 142.0, ""predict_peak_cpu_percent"": 201.6}","{""fit_peak_ram_mb"": 286.35546875, ""predict_peak_ram_mb"": 280.75}","{""fit_peak_gpu_memory_mb"": 1939.63671875, ""predict_peak_gpu_memory_mb"": 1920.13671875}"
1,PauliFeatureMap,1,linear,"[""Y"", ""Z""]",2,0.8032786885245902,0.8085585585585586,0.7965367965367965,0.798901098901099,0.8013330931363719,51.33108699999866,34.30589780001901,"{""fit_peak_cpu_percent"": 117.6, ""predict_peak_cpu_percent"": 112.5}","{""fit_peak_ram_mb"": 286.44140625, ""predict_peak_ram_mb"": 280.60546875}","{""fit_peak_gpu_memory_mb"": 1931.76171875, ""predict_peak_gpu_memory_mb"": 1919.29296875}"
2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",0,0.639344262295082,0.6362637362637362,0.6341991341991342,0.6345315904139434,0.6379692131861853,80.68428770001628,56.99320510000689,"{""fit_peak_cpu_percent"": 125.0, ""predict_peak_cpu_percent"": 148.8}","{""fit_peak_ram_mb"": 286.66015625, ""predict_peak_ram_mb"": 281.23828125}","{""fit_peak_gpu_memory_mb"": 2020.98046875, ""predict_peak_gpu_memory_mb"": 2002.25390625}"
2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",1,0.7377049180327869,0.7819444444444444,0.7196969696969697,0.7156177156177156,0.7221139516221483,82.21840809998685,54.058675500011304,"{""fit_peak_cpu_percent"": 166.2, ""predict_peak_cpu_percent"": 293.0}","{""fit_peak_ram_mb"": 287.20703125, ""predict_peak_ram_mb"": 278.46875}","{""fit_peak_gpu_memory_mb"": 2023.2890625, ""predict_peak_gpu_memory_mb"": 2009.21484375}"
2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",2,0.8032786885245902,0.828048780487805,0.7911255411255411,0.7939189189189189,0.7975188303057155,80.69941939998535,54.22927630000049,"{""fit_peak_cpu_percent"": 129.0, ""predict_peak_cpu_percent"": 390.6}","{""fit_peak_ram_mb"": 283.89453125, ""predict_peak_ram_mb"": 278.48046875}","{""fit_peak_gpu_memory_mb"": 2044.04296875, ""predict_peak_gpu_memory_mb"": 1962.49609375}"
3,ZZFeatureMap,1,full,,0,0.639344262295082,0.6472868217054264,0.6233766233766234,0.6161327231121281,0.6238699028397794,62.20271670000511,42.35407449997729,"{""fit_peak_cpu_percent"": 195.3, ""predict_peak_cpu_percent"": 113.6}","{""fit_peak_ram_mb"": 284.2109375, ""predict_peak_ram_mb"": 278.65234375}","{""fit_peak_gpu_memory_mb"": 1980.60546875, ""predict_peak_gpu_memory_mb"": 1977.71484375}"
3,ZZFeatureMap,1,full,,1,0.639344262295082,0.6386946386946387,0.6287878787878788,0.6272222222222222,0.6327322404371585,62.34192909998819,42.31795319999219,"{""fit_peak_cpu_percent"": 151.2, ""predict_peak_cpu_percent"": 208.3}","{""fit_peak_ram_mb"": 284.109375, ""predict_peak_ram_mb"": 277.91015625}","{""fit_peak_gpu_memory_mb"": 2050.05859375, ""predict_peak_gpu_memory_mb"": 2012.55859375}"
3,ZZFeatureMap,1,full,,2,0.6229508196721312,0.620137299771167,0.6136363636363636,0.6125379729356532,0.6177443963038921,63.04679649998434,42.78072690000408,"{""fit_peak_cpu_percent"": 111.6, ""predict_peak_cpu_percent"": 108.3}","{""fit_peak_ram_mb"": 284.30078125, ""predict_peak_ram_mb"": 279.15625}","{""fit_peak_gpu_memory_mb"": 2047.31640625, ""predict_peak_gpu_memory_mb"": 2246.8125}"
4,PauliFeatureMap,2,full,"[""X"", ""Z""]",0,0.6557377049180327,0.6533333333333333,0.6493506493506493,0.6497128794093519,0.6534783953522775,81.62504049998824,53.341763100004755,"{""fit_peak_cpu_percent"": 293.0, ""predict_peak_cpu_percent"": 113.5}","{""fit_peak_ram_mb"": 285.01171875, ""predict_peak_ram_mb"": 280.2890625}","{""fit_peak_gpu_memory_mb"": 1994.0390625, ""predict_peak_gpu_memory_mb"": 1411.61328125}"
