number,value,datetime_start,datetime_complete,duration,params_entanglement,params_feature_map_type,params_paulis,params_reps,user_attrs_macro_f1,state,trial_number,feature_map_type,reps,entanglement,paulis,status,error_message,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,peak_cpu_percent,peak_ram_mb,peak_gpu_memory_mb
0,0.5673758865248226,2026-05-16 18:25:20.069349,2026-05-16 18:27:26.230938,0 days 00:02:06.161589,linear,ZZFeatureMap,,2,0.5673758865248226,COMPLETE,0,ZZFeatureMap,2,linear,,completed,,0.5901639344262295,0.587092731829574,0.5752164502164502,0.5673758865248226,0.5755144750610394,75.17257029999746,50.98355089998222,120.2,315.7421875,1763.99609375
1,0.0,2026-05-16 18:27:26.230938,2026-05-16 18:27:26.231938,0 days 00:00:00.001000,linear,ZFeatureMap,,1,,COMPLETE,1,ZFeatureMap,1,linear,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
2,0.7441990494828068,2026-05-16 18:27:26.231938,2026-05-16 18:29:41.840858,0 days 00:02:15.608920,full,PauliFeatureMap,"[""Y"", ""Z""]",2,0.7441990494828068,COMPLETE,2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",completed,,0.7540983606557377,0.7672619047619047,0.7429653679653679,0.7441990494828068,0.748323762471528,79.53611439999077,56.068544499983545,293.0,319.046875,1933.87109375
3,0.608974358974359,2026-05-16 18:29:41.840858,2026-05-16 18:32:35.583924,0 days 00:02:53.743066,full,ZZFeatureMap,,2,0.608974358974359,COMPLETE,3,ZZFeatureMap,2,full,,completed,,0.639344262295082,0.6548611111111111,0.6206709956709957,0.608974358974359,0.617906683480454,103.87141359999077,69.86752470000647,151.2,320.1640625,2285.32421875
4,0.0,2026-05-16 18:32:35.583924,2026-05-16 18:32:35.584924,0 days 00:00:00.001000,linear,ZFeatureMap,,1,,COMPLETE,4,ZFeatureMap,1,linear,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
5,0.6800699300699301,2026-05-16 18:32:35.584924,2026-05-16 18:33:57.550512,0 days 00:01:21.965588,linear,PauliFeatureMap,"[""Z"", ""ZZ""]",1,0.6800699300699301,COMPLETE,5,PauliFeatureMap,1,linear,"[""Z"", ""ZZ""]",completed,,0.7049180327868853,0.7395833333333333,0.6866883116883117,0.6800699300699301,0.687378195574917,48.92110209999373,33.04087029999937,105.9,319.30078125,1762.93359375
6,0.7288888888888889,2026-05-16 18:33:57.550512,2026-05-16 18:35:43.006980,0 days 00:01:45.456468,full,ZZFeatureMap,,1,0.7288888888888889,COMPLETE,6,ZZFeatureMap,1,full,,completed,,0.7377049180327869,0.7453379953379953,0.7278138528138528,0.7288888888888889,0.7328961748633881,62.48499280001852,42.96656439997605,116.4,319.55078125,1755.30859375
7,0.7288888888888889,2026-05-16 18:35:43.006980,2026-05-16 18:37:28.881025,0 days 00:01:45.874045,full,ZZFeatureMap,,1,0.7288888888888889,COMPLETE,7,ZZFeatureMap,1,full,,completed,,0.7377049180327869,0.7453379953379953,0.7278138528138528,0.7288888888888889,0.7328961748633881,63.57099290000042,42.29912830001558,116.4,319.56640625,1740.609375
8,0.6655122655122655,2026-05-16 18:37:28.881025,2026-05-16 18:38:59.321041,0 days 00:01:30.440016,circular,ZZFeatureMap,,1,0.6655122655122655,COMPLETE,8,ZZFeatureMap,1,circular,,completed,,0.6885245901639344,0.7118983957219251,0.6715367965367965,0.6655122655122655,0.6727036169659121,53.84219870000379,36.592382700007875,125.0,320.734375,1724.80859375
9,0.6161327231121281,2026-05-16 18:38:59.321041,2026-05-16 18:41:22.997057,0 days 00:02:23.676016,circular,ZZFeatureMap,,2,0.6161327231121281,COMPLETE,9,ZZFeatureMap,2,circular,,completed,,0.639344262295082,0.6472868217054264,0.6233766233766234,0.6161327231121281,0.6238699028397794,85.9727692999877,57.69930090001435,126.0,320.79296875,1893.57421875
