config_rank,feature_map_type,reps,entanglement,paulis,repeat_id,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,cpu_summary,ram_summary,gpu_summary
1,PauliFeatureMap,1,linear,"[""X"", ""Z""]",0,0.9180327868852459,0.9170258620689655,0.9188311688311688,0.9176788124156545,0.9181212805026437,42.02497576799942,26.012240237003425,"{""fit_peak_cpu_percent"": 193.5, ""predict_peak_cpu_percent"": 102.3}","{""fit_peak_ram_mb"": 557.05078125, ""predict_peak_ram_mb"": 557.05078125}","{""fit_peak_gpu_memory_mb"": 2713.60546875, ""predict_peak_gpu_memory_mb"": 2713.60546875}"
1,PauliFeatureMap,1,linear,"[""X"", ""Z""]",1,0.819672131147541,0.8191721132897603,0.8170995670995671,0.817910447761194,0.8193785172498165,43.172580346996256,27.809840255999006,"{""fit_peak_cpu_percent"": 115.4, ""predict_peak_cpu_percent"": 101.7}","{""fit_peak_ram_mb"": 557.05078125, ""predict_peak_ram_mb"": 557.05078125}","{""fit_peak_gpu_memory_mb"": 2713.60546875, ""predict_peak_gpu_memory_mb"": 2713.60546875}"
1,PauliFeatureMap,1,linear,"[""X"", ""Z""]",2,0.8032786885245902,0.8085585585585586,0.7965367965367965,0.798901098901099,0.8013330931363719,38.19045821399777,28.411832879995927,"{""fit_peak_cpu_percent"": 129.4, ""predict_peak_cpu_percent"": 103.4}","{""fit_peak_ram_mb"": 557.05078125, ""predict_peak_ram_mb"": 557.05078125}","{""fit_peak_gpu_memory_mb"": 2713.60546875, ""predict_peak_gpu_memory_mb"": 2713.60546875}"
2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",0,0.8360655737704918,0.8354838709677419,0.8376623376623377,0.8356681034482758,0.8363305539853024,65.05717503400228,43.99561317700136,"{""fit_peak_cpu_percent"": 267.7, ""predict_peak_cpu_percent"": 121.8}","{""fit_peak_ram_mb"": 557.05078125, ""predict_peak_ram_mb"": 557.05078125}","{""fit_peak_gpu_memory_mb"": 2713.60546875, ""predict_peak_gpu_memory_mb"": 2713.60546875}"
2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",1,0.819672131147541,0.8227777777777778,0.8143939393939394,0.8165162701668034,0.8184886832797643,69.35204990400234,44.02157184899988,"{""fit_peak_cpu_percent"": 239.7, ""predict_peak_cpu_percent"": 256.7}","{""fit_peak_ram_mb"": 557.05078125, ""predict_peak_ram_mb"": 557.05078125}","{""fit_peak_gpu_memory_mb"": 2713.60546875, ""predict_peak_gpu_memory_mb"": 2713.60546875}"
2,PauliFeatureMap,2,full,"[""Y"", ""Z""]",2,0.8032786885245902,0.8038461538461539,0.7992424242424243,0.8006535947712419,0.8025286617379193,70.37974364699767,42.731111870998575,"{""fit_peak_cpu_percent"": 103.0, ""predict_peak_cpu_percent"": 209.9}","{""fit_peak_ram_mb"": 557.05078125, ""predict_peak_ram_mb"": 557.05078125}","{""fit_peak_gpu_memory_mb"": 2713.60546875, ""predict_peak_gpu_memory_mb"": 2713.60546875}"
3,PauliFeatureMap,2,circular,"[""X"", ""Z""]",0,0.819672131147541,0.818426724137931,0.8198051948051948,0.81889338731444,0.8198668171058162,68.6609743989975,42.38559435899515,"{""fit_peak_cpu_percent"": 102.7, ""predict_peak_cpu_percent"": 103.9}","{""fit_peak_ram_mb"": 557.05078125, ""predict_peak_ram_mb"": 557.05078125}","{""fit_peak_gpu_memory_mb"": 2713.60546875, ""predict_peak_gpu_memory_mb"": 2713.60546875}"
3,PauliFeatureMap,2,circular,"[""X"", ""Z""]",1,0.7377049180327869,0.7398648648648649,0.7305194805194806,0.7318681318681319,0.7351107908484957,68.54156800400233,46.035365423995245,"{""fit_peak_cpu_percent"": 120.1, ""predict_peak_cpu_percent"": 106.3}","{""fit_peak_ram_mb"": 557.05078125, ""predict_peak_ram_mb"": 557.05078125}","{""fit_peak_gpu_memory_mb"": 2713.60546875, ""predict_peak_gpu_memory_mb"": 2713.60546875}"
3,PauliFeatureMap,2,circular,"[""X"", ""Z""]",2,0.7868852459016393,0.788888888888889,0.7813852813852814,0.7831555920153132,0.785486625694267,69.69415561600181,44.57403288099886,"{""fit_peak_cpu_percent"": 111.1, ""predict_peak_cpu_percent"": 288.5}","{""fit_peak_ram_mb"": 557.05078125, ""predict_peak_ram_mb"": 557.05078125}","{""fit_peak_gpu_memory_mb"": 2713.60546875, ""predict_peak_gpu_memory_mb"": 2713.60546875}"
4,PauliFeatureMap,2,circular,"[""X"", ""Y"", ""Z""]",0,0.7377049180327869,0.7456427015250544,0.7440476190476191,0.7376344086021505,0.7372818614489687,82.7387096329985,52.37007770800119,"{""fit_peak_cpu_percent"": 188.6, ""predict_peak_cpu_percent"": 283.2}","{""fit_peak_ram_mb"": 557.05078125, ""predict_peak_ram_mb"": 557.05078125}","{""fit_peak_gpu_memory_mb"": 2713.60546875, ""predict_peak_gpu_memory_mb"": 2713.60546875}"
