config_rank,feature_map_type,reps,entanglement,paulis,repeat_id,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,cpu_summary,ram_summary,gpu_summary
1,PauliFeatureMap,2,full,"[""Y"", ""Z""]",0,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,0.9665831244778613,11.817061501998978,7.676049008001428,"{""fit_peak_cpu_percent"": 191.3, ""predict_peak_cpu_percent"": 100.6}","{""fit_peak_ram_mb"": 545.08984375, ""predict_peak_ram_mb"": 545.08984375}","{""fit_peak_gpu_memory_mb"": 2482.23828125, ""predict_peak_gpu_memory_mb"": 2482.23828125}"
1,PauliFeatureMap,2,full,"[""Y"", ""Z""]",1,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,0.9665831244778613,11.71198593599911,7.832590476002224,"{""fit_peak_cpu_percent"": 153.8, ""predict_peak_cpu_percent"": 101.5}","{""fit_peak_ram_mb"": 545.08984375, ""predict_peak_ram_mb"": 545.08984375}","{""fit_peak_gpu_memory_mb"": 2482.23828125, ""predict_peak_gpu_memory_mb"": 2482.23828125}"
1,PauliFeatureMap,2,full,"[""Y"", ""Z""]",2,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778613,0.9665831244778613,11.713717734000966,7.876159824001661,"{""fit_peak_cpu_percent"": 105.5, ""predict_peak_cpu_percent"": 107.3}","{""fit_peak_ram_mb"": 545.08984375, ""predict_peak_ram_mb"": 545.08984375}","{""fit_peak_gpu_memory_mb"": 2482.23828125, ""predict_peak_gpu_memory_mb"": 2482.23828125}"
2,PauliFeatureMap,3,full,"[""Y"", ""Z""]",0,0.9,0.8993265993265993,0.9,0.8981620718462824,0.8981620718462824,18.14252591499826,12.922242523000023,"{""fit_peak_cpu_percent"": 102.9, ""predict_peak_cpu_percent"": 101.0}","{""fit_peak_ram_mb"": 545.08984375, ""predict_peak_ram_mb"": 545.08984375}","{""fit_peak_gpu_memory_mb"": 2482.23828125, ""predict_peak_gpu_memory_mb"": 2482.23828125}"
2,PauliFeatureMap,3,full,"[""Y"", ""Z""]",1,0.8666666666666667,0.8694444444444445,0.8666666666666667,0.8622895622895622,0.8622895622895623,22.873781936999876,12.544292630002019,"{""fit_peak_cpu_percent"": 101.1, ""predict_peak_cpu_percent"": 100.8}","{""fit_peak_ram_mb"": 545.08984375, ""predict_peak_ram_mb"": 545.08984375}","{""fit_peak_gpu_memory_mb"": 2482.23828125, ""predict_peak_gpu_memory_mb"": 2482.23828125}"
2,PauliFeatureMap,3,full,"[""Y"", ""Z""]",2,0.8333333333333334,0.8387205387205388,0.8333333333333334,0.8346700083542188,0.8346700083542189,18.22388903400133,13.505158177998965,"{""fit_peak_cpu_percent"": 108.1, ""predict_peak_cpu_percent"": 101.9}","{""fit_peak_ram_mb"": 545.08984375, ""predict_peak_ram_mb"": 545.08984375}","{""fit_peak_gpu_memory_mb"": 2482.23828125, ""predict_peak_gpu_memory_mb"": 2482.23828125}"
3,PauliFeatureMap,2,circular,"[""X"", ""Y"", ""Z""]",0,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778613,0.9665831244778613,20.692190999998274,12.324237013002858,"{""fit_peak_cpu_percent"": 184.1, ""predict_peak_cpu_percent"": 191.1}","{""fit_peak_ram_mb"": 545.08984375, ""predict_peak_ram_mb"": 545.08984375}","{""fit_peak_gpu_memory_mb"": 2482.23828125, ""predict_peak_gpu_memory_mb"": 2482.23828125}"
3,PauliFeatureMap,2,circular,"[""X"", ""Y"", ""Z""]",1,0.9333333333333333,0.9393939393939394,0.9333333333333332,0.9312169312169312,0.9312169312169313,18.879896932998236,13.856051336999371,"{""fit_peak_cpu_percent"": 105.1, ""predict_peak_cpu_percent"": 101.0}","{""fit_peak_ram_mb"": 545.08984375, ""predict_peak_ram_mb"": 545.08984375}","{""fit_peak_gpu_memory_mb"": 2482.23828125, ""predict_peak_gpu_memory_mb"": 2482.23828125}"
3,PauliFeatureMap,2,circular,"[""X"", ""Y"", ""Z""]",2,0.9333333333333333,0.9363636363636364,0.9333333333333332,0.933249791144528,0.933249791144528,21.04319188199952,13.930869789001008,"{""fit_peak_cpu_percent"": 101.5, ""predict_peak_cpu_percent"": 108.1}","{""fit_peak_ram_mb"": 545.08984375, ""predict_peak_ram_mb"": 545.08984375}","{""fit_peak_gpu_memory_mb"": 2482.23828125, ""predict_peak_gpu_memory_mb"": 2482.23828125}"
4,PauliFeatureMap,3,full,"[""X"", ""Z""]",0,0.9,0.9060606060606061,0.9,0.9015037593984961,0.9015037593984961,19.887640862998524,12.660567314000218,"{""fit_peak_cpu_percent"": 105.9, ""predict_peak_cpu_percent"": 102.8}","{""fit_peak_ram_mb"": 545.08984375, ""predict_peak_ram_mb"": 545.08984375}","{""fit_peak_gpu_memory_mb"": 2482.23828125, ""predict_peak_gpu_memory_mb"": 2482.23828125}"
