config_rank,feature_map_type,reps,entanglement,paulis,repeat_id,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,cpu_summary,ram_summary,gpu_summary
1,PauliFeatureMap,2,full,"[""Y"", ""Z""]",0,1.0,1.0,1.0,1.0,1.0,22.35531434999575,14.477076741000928,"{""fit_peak_cpu_percent"": 192.8, ""predict_peak_cpu_percent"": 102.1}","{""fit_peak_ram_mb"": 551.8046875, ""predict_peak_ram_mb"": 551.8046875}","{""fit_peak_gpu_memory_mb"": 2709.48046875, ""predict_peak_gpu_memory_mb"": 2709.48046875}"
1,PauliFeatureMap,2,full,"[""Y"", ""Z""]",1,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,0.9722633744855966,24.050167175999377,17.27277394799603,"{""fit_peak_cpu_percent"": 151.4, ""predict_peak_cpu_percent"": 103.7}","{""fit_peak_ram_mb"": 551.8046875, ""predict_peak_ram_mb"": 551.8046875}","{""fit_peak_gpu_memory_mb"": 2709.48046875, ""predict_peak_gpu_memory_mb"": 2709.48046875}"
1,PauliFeatureMap,2,full,"[""Y"", ""Z""]",2,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,0.9722633744855966,21.92381379300059,14.560499076003907,"{""fit_peak_cpu_percent"": 103.4, ""predict_peak_cpu_percent"": 101.4}","{""fit_peak_ram_mb"": 551.8046875, ""predict_peak_ram_mb"": 551.8046875}","{""fit_peak_gpu_memory_mb"": 2709.48046875, ""predict_peak_gpu_memory_mb"": 2709.48046875}"
2,PauliFeatureMap,2,full,"[""X"", ""Z""]",0,0.9444444444444444,0.9521367521367522,0.9333333333333332,0.9381353767560664,0.9423925074499786,22.067497320000257,14.513669945998117,"{""fit_peak_cpu_percent"": 103.3, ""predict_peak_cpu_percent"": 103.4}","{""fit_peak_ram_mb"": 551.8046875, ""predict_peak_ram_mb"": 551.8046875}","{""fit_peak_gpu_memory_mb"": 2709.48046875, ""predict_peak_gpu_memory_mb"": 2709.48046875}"
2,PauliFeatureMap,2,full,"[""X"", ""Z""]",1,0.9722222222222222,0.9743589743589745,0.9666666666666667,0.9691228070175438,0.9720467836257308,23.31514477800374,17.79450380599883,"{""fit_peak_cpu_percent"": 102.4, ""predict_peak_cpu_percent"": 103.3}","{""fit_peak_ram_mb"": 551.8046875, ""predict_peak_ram_mb"": 551.8046875}","{""fit_peak_gpu_memory_mb"": 2709.48046875, ""predict_peak_gpu_memory_mb"": 2709.48046875}"
2,PauliFeatureMap,2,full,"[""X"", ""Z""]",2,0.9166666666666666,0.9153439153439153,0.9095238095238095,0.9093817163992602,0.9160960330550973,20.58845421300066,11.954097141999227,"{""fit_peak_cpu_percent"": 193.4, ""predict_peak_cpu_percent"": 115.5}","{""fit_peak_ram_mb"": 551.8046875, ""predict_peak_ram_mb"": 551.8046875}","{""fit_peak_gpu_memory_mb"": 2709.48046875, ""predict_peak_gpu_memory_mb"": 2709.48046875}"
3,PauliFeatureMap,2,linear,"[""Y"", ""Z""]",0,0.8611111111111112,0.9019607843137255,0.8523809523809524,0.8580641805793935,0.8635945978745168,24.149152083002264,15.906365703995107,"{""fit_peak_cpu_percent"": 133.0, ""predict_peak_cpu_percent"": 102.5}","{""fit_peak_ram_mb"": 551.8046875, ""predict_peak_ram_mb"": 551.8046875}","{""fit_peak_gpu_memory_mb"": 2709.48046875, ""predict_peak_gpu_memory_mb"": 2709.48046875}"
3,PauliFeatureMap,2,linear,"[""Y"", ""Z""]",1,0.9444444444444444,0.9410256410256411,0.942857142857143,0.9409876543209875,0.9444855967078188,22.662466526999197,16.010388653994596,"{""fit_peak_cpu_percent"": 111.2, ""predict_peak_cpu_percent"": 111.5}","{""fit_peak_ram_mb"": 551.8046875, ""predict_peak_ram_mb"": 551.8046875}","{""fit_peak_gpu_memory_mb"": 2709.48046875, ""predict_peak_gpu_memory_mb"": 2709.48046875}"
3,PauliFeatureMap,2,linear,"[""Y"", ""Z""]",2,1.0,1.0,1.0,1.0,1.0,24.101536793001287,16.39487769200059,"{""fit_peak_cpu_percent"": 145.3, ""predict_peak_cpu_percent"": 101.8}","{""fit_peak_ram_mb"": 551.8046875, ""predict_peak_ram_mb"": 551.8046875}","{""fit_peak_gpu_memory_mb"": 2709.48046875, ""predict_peak_gpu_memory_mb"": 2709.48046875}"
4,PauliFeatureMap,3,full,"[""Y"", ""Z""]",0,0.6944444444444444,0.7071428571428572,0.7031746031746032,0.6954156954156954,0.6968401968401968,27.824073142997804,17.84371925600135,"{""fit_peak_cpu_percent"": 115.7, ""predict_peak_cpu_percent"": 103.9}","{""fit_peak_ram_mb"": 552.0234375, ""predict_peak_ram_mb"": 552.0234375}","{""fit_peak_gpu_memory_mb"": 2709.48046875, ""predict_peak_gpu_memory_mb"": 2709.48046875}"
